Tenant,Community,Corporate,Degree
MINIMEX,0,,12
MITH,0,,7
MLAB,0,,11
MLB,0,,10
MOB,0,,3
MORIGIRL SEASON,0,,5
NAISNOW,0,,4
NARCISO RODRIGUEZ,0,,12
NARS,0,,13
NATUR,0,,6
NAUTICA,0,,7
NESPRESSO,0,,14
NEW ERA,0,,12
NEXT PHASE,0,,4
NUM NOMS,0,,8
NUNA,0,,9
OXO,0,,7
PACO RABANNE,0,,7
PATRA,0,,9
PEACHY,0,,5
PLARAIL,0,,11
PLAYDOH HASBRO KIDDO,0,,10
POMELO,0,,13
PULCINELLA,0,,10
QUIKSILVER,0,,10
RAVIPA,0,,12
REV RUNNR,0,,11
ROXY,0,,9
SAMSONITE,0,,18
SAMSONITE RED,0,,12
SFERA,0,,15
SHEER BLISS,0,,11
SISLEY,0,,11
SIVANNA COLORS,0,,9
SKIPHOP,0,,10
SMELL LEMONGRASS,0,,3
SO SMOOCHIE,0,,11
SOBBLE,0,,7
SOFFLIN,0,,8
SQUISHMALLOWS,0,,12
SULWHASOO,0,,13
SUNGLASS HUT,0,,11
SUNNIES,0,,4
SUUNTO,0,,4
SWAROVSKI,0,,10
TAKE TOYS,0,,11
THE NORTH FACE,0,,12
THOMAS WD,0,,6
TIGER,0,,9
TISSOT,0,,11
TOEZONE,0,,5
UNDER ARMOUR,0,,8
UNDERGEAR,0,,13
USPOLO ASSN,0,,7
VIDAL SASSOON,0,,10
WHOO,0,,7
WIENNA,0,,7
WISHER TOY,0,,14
YSL,0,,13
ZARA,0,,7
ZOJIRUSHI,0,,14
ZWILLING,0,,11
ธนาคารเกียรตินาคินภัทร,0,,7
3M,0,,7
AIAOON,0,,4
ALBA,0,,8
BALMUDA,0,,5
BENEFIT,0,,5
BOSCH SM,0,,4
DART ZONE,0,,5
DC,0,,5
DS,0,,3
ELIZABETH,0,,7
GILI,0,,5
GREEN PAN,0,,5
GREENLIGHT,0,,5
HARUKI,0,,6
HELLO KITTY WD,0,,7
KEDS,0,,5
KEEPPLEY,0,,5
KHUNPOOM,0,,5
LE CREUSET,0,,5
LEON,0,,8
MASERATI,0,,4
MRBIG,0,,6
NATIVE,0,,4
NINTENDO,0,,5
OOFOS,0,,6
OUTDOOR,0,,4
PARKS TOY,0,,4
PAZZION,0,,7
PLAYMOBIL CR,0,,3
PRETTY FIT,0,,8
ROAV,0,,4
ROYAL PORCELAIN,0,,5
ROYAL YACHT CLUB,0,,6
SAINT ETOILE BY YAMAZAKI,0,,10
TEMPUR PEDIC,0,,6
TINY LOVE,0,,6
TOM FORD BEAUTY,0,,5
TOMS,0,,4
VILLAINS SF,0,,5
CHABATREE,0,,3
JIM THOMPSON,0,,7
AJMAL,0,,3
AMBER,0,,3
ANASTASIA MIARAY,0,,3
BEBE AMICO,0,,5
CAMPER,0,,3
CARS WD,0,,4
CHARLOTTE TILBURY,0,,3
CHAT,0,,3
CLICK GLASSES,0,,3
GONGDID,0,,4
GUCCI BEAUTY,0,,3
JETRIYA,0,,3
KAWAI,0,,3
