Tenant,MallCount
COFFEE WORLD,6
BOOST JUICE BARS,6
JUBILEE DIAMOND,6
YUGEN,6
TOPS DAILY,6
BOOST JUICE,6
ANTA,6
PHATARAMANEE,6
SEPHORA,6
MARKS & SPENCER,6
GENTLEWOMAN,6
KEDS,6
S&P SIMPLY DELICIOUS,6
WATTS,6
HONAJI RAMEN,6
MAKOTO,6
MILLE,6
SUKISHI CHARCOAL GRILL,6
WALL STREET ENGLISH,6
MOS BURGER,6
WONDER PHOTO SHOP,5
DIOR,5
STARBUCKS,5
WATCH STATION,5
TOPS CARE,5
SABOTEN,5
NATURE,5
MIHIMIHI,5
NICE TWO MEAT U,5
KAWAI,5
PRIMA DIAMOND,5
FOODPATIO,5
INFINITY MEDICAL CLINIC,5
CC DOUBLE O,5
ALL ABOUT YOU,5
KAWAI MUSIC SCHOOL,5
DOLLAR BOUTIQUE,5
LAO YUAN,5
DJI,5
ZEIN,5
D'ARTE,5
EARW THAI SUKI BORAN,5
PAY BY P.A.PHONE,5
SUIT SELECT,5
PROCLEAN,5
TENJO,5
KHUNPOOM,5
เซ่งเฮง,5
FOCUS STORE,5
YUM SAAP,5
BANGKOK GOLD,5
TAYWIN,5
HANGTHONG WHANG TOH KANG YAOWARAJ,5
REEBOK,5
COLUMBIA,5
YOU & I SUKI,5
PIZZA HUT,5
KAGONOYA,5
REGENT DIAMOND,5
SIAM LASER CLINIC,5
ARROW,5
SUKISHI KOREAN CHARCOAL GRILL,5
NIYOM JEANS,5
PRIMA GOLD,5
SUPER RICH THAILAND,5
FRED PERRY,5
HARNN,5
JOYLIDAY PLUS,5
KIEHL'S,5
SMILEYHOUND,5
CLARINS,5
TRUE SPHERE,5
E-QUIP,5
GLASSAHOLIC,5
MATH TALENT BY DR. YING,5
I CAN READ,5
TUMRABTHAI,5
SUKIYA,5
THE VIRIYAH INSURANCE,5
STRACK YUM,5
THE ALLEY,5
MINE,5
MR. SHAKE,5
MAESRIRUEN,5
SANTA FE',5
GIORGIO ARMANI,5
KUB KAO KUB PLA,5
ARI FOOTBALL CONCEPT STORE,5
SANTA FE' STEAK,4
BRATPACK,4
MICHAEL KORS,4
TORY BURCH,4
YODCHA,4
EP,4
DOSH (DESCENDANT OF SUPERHEROES),4
SLC CLINIC,4
TAG HEUER,4
NGG JEWELLERY,4
BKK DIAMOND,4
RESTER,4
SAINT CROISSANT,4
CHANEL,4
TG EXPRESS,4
AU BON PAIN,4
RADO,4
PUNTHAI COFFEE,4
KRUNGSRI,4
A'MAZE,4
DIESEL,4
DR. PONG,4
ZOOM CAMERA,4
BLACK PEARL,4
LONGINES,4
SUSHI PLUS,4
ROSE JEWELRY STUDIO,4
PROMISE,4
HEAVY,4
TELEWIZ,4
UOB EXPRESS,4
ELEMENT 72,4
KANSEI SUSHI,4
FOREVER FLAWLESS,4
CURLY CUT,4
SAVE DRUG,4
MIKUCHA,4
MERREZ'CA,4
BOSSINI,4
MERIDA CLINIC,4
AES CLASS CLINIC,4
MAC,4
MIDO,4
ACE,4
TENYA,4
JONES' SALAD,4
KOI THÉ,4
YUMEYA,4
MONTIPA,4
WANG TOA KANG YAOWARAT GOLD,4
ANASTASIA MIARAY,4
CLAY WORKS,4
