Tenant,Eigenvector
TOSHIBA,0.04285771747908879
THE FACE SHOP,0.04283006625390403
BSC,0.042677426922969317
SEIKO,0.04252695814943113
JOURNAL,0.042475278506020404
MIXUE,0.0424250550818975
DAVIDOFF,0.04241984568648708
SUPERWARE,0.042240318262163304
TOSHINO,0.042240318262163304
MINI MONO,0.042206859448750654
BEARHOUSE,0.042191298844211626
MAC,0.04211300774571043
THE PIZZA COMPANY,0.04186484718226329
PERICO,0.04181368750858338
SAMSUNG,0.04174424155253396
CAGGIONI,0.04158908498871138
PRADAP,0.04145593599626321
TPARTNER,0.041407183410217915
LOCKNLOCK,0.04139731388025926
BANDAI,0.041251353001803895
OMAZZ,0.041199088153810064
LEVI'S,0.04113757258031976
SYLVANIAN FAMILIES,0.041084086545496196
SFERA,0.040877632088918245
SIMPLICITY,0.040839538118007175
OOTOYA,0.040817938261809385
SIRENA,0.040752334023795564
EVERSINCE,0.04075053855734448
POLOTRAVEL CLUB,0.040726773715278546
KOSE,0.04069183850214611
GQ JEANS,0.04065176262837805
VING,0.040589938375522376
KIPLING,0.04043454822148134
PRIMA GOLD,0.04040430557064763
PUMA,0.04031154735022512
SUPERSPORTS,0.04016806437477885
PEPPER LUNCH,0.04012544769764918
KRISPY KREME,0.039855245167026425
แหลมเจริญูซีฟู้ด,0.03975714137709838
PRIMA ART,0.03966281613233391
MIDO,0.03963944220696455
CPS CHAPS,0.03963341895892912
DAKS,0.03962912243141095
WITH IT,0.039534831560929115
RADO,0.039312910326629084
SKII,0.0392927620689092
UNITED OVERSEAS BANK (THAI) PUBLIC COMPANY LIMITED,0.03925935820001889
DELONGHI,0.039213572218103704
SILVERLIT,0.03904300739982147
BEVERLY HILLS POLO CLUB,0.038952403397225714
VTECH,0.038916742638171464
CITY TOYS,0.03885178681134378
CLAUDIAS ROMANCE,0.03883742858010791
WISHER TOY,0.0388374285801079
IT CITY,0.03882572280825773
KEED,0.038715762162985966
BODY GLOVE,0.03866590852494191
LAMER,0.03864872704187407
HAVAIANAS,0.03849321184891935
ANGEL KIDS,0.0384552463410145
MATSUKIYO,0.03842834890188756
