Source,Target,Weight,Floor,Category
JASPAL,Central Udon,1,1F,Fashion & Apparel
JAYMART,Central Udon,1,2F,Technology & Electronics
JELLY BUNNY,Central Udon,1,1F,Fashion & Apparel
JIB,Central Udon,1,2F,Technology & Electronics
JING JAI MARKET,Central Udon,1,GF,Lifestyle & Specialty
JUBILEE DIAMOND,Central Udon,1,2F,Fashion & Apparel
JUTATIP,Central Udon,1,GF,Food & Beverage
KAI JEOW CAFE,Central Udon,1,GF,Food & Beverage
KANOMJEENTHAILAO,Central Udon,1,GF,Food & Beverage
KANOMPIEER BUADENG,Central Udon,1,GF,Food & Beverage
KARMART,Central Udon,1,3F,Beauty & Wellness
KASIKORN BANK,Central Udon,1,3F,Bank & Financial Services
KEDMA,Central Udon,1,1F,Beauty & Wellness
KFC,Central Udon,1,1F,Food & Beverage
KHAMOOTROKSUNG,Central Udon,1,GF,Food & Beverage
KHAO KOOK NAM PRIK MUEANG YA,Central Udon,1,GF,Food & Beverage
KHAO MOO KROB NAI KONG,Central Udon,1,GF,Food & Beverage
KIDZOOONA,Central Udon,1,5F,Entertainment
KOI THE,Central Udon,1,1F,Food & Beverage
KRAURTHAI,Central Udon,1,GF,Food & Beverage
KRUNG THAI BANK,Central Udon,1,3F,Bank & Financial Services
KRUNGSRI FIRST CHOICE,Central Udon,1,3F,Bank & Financial Services
KUAY TIEW BOHRAN SUKHOTHAI,Central Udon,1,GF,Food & Beverage
LACOSTE,Central Udon,1,1F,Fashion & Apparel
LAEM CHAROEN SEAFOOD,Central Udon,1,4F,Food & Beverage
LEE,Central Udon,1,1F,Fashion & Apparel
LEVI'S,Central Udon,1,1F,Fashion & Apparel
LOOKCHINSONGPEENONG,Central Udon,1,GF,Food & Beverage
LOOKCHINTHIP,Central Udon,1,GF,Food & Beverage
LOVELY NAIL BY RUTFHA,Central Udon,1,3F,Beauty & Wellness
LUXURY,Central Udon,1,GF,Lifestyle & Specialty
LYN,Central Udon,1,1F,Fashion & Apparel
LYN AROUND,Central Udon,1,1F,Fashion & Apparel
MAJOR CINEPLEX,Central Udon,1,5F,Entertainment
MC DONALD'S,Central Udon,1,1F,Food & Beverage
MC JEANS,Central Udon,1,1F,Fashion & Apparel
MEEYAI STEAK ZEED,Central Udon,1,GF,Food & Beverage
MELODY KARAOKE,Central Udon,1,5F,Entertainment
MERRICH CLINIC,Central Udon,1,3F,Beauty & Wellness
MIDNIGHT KAI TON PRATU NAM,Central Udon,1,GF,Food & Beverage
MINISO,Central Udon,1,3F,Lifestyle & Specialty
MISTER DONUT,Central Udon,1,1F,Food & Beverage
MISTER DONUT,Central Udon,1,4F,Food & Beverage
MISTER DONUT,Central Udon,1,GF,Food & Beverage
MIXUE,Central Udon,1,4F,Food & Beverage
MK RESTAURANT,Central Udon,1,4F,Food & Beverage
MLB,Central Udon,1,1F,Fashion & Apparel
MOMIZU HOUSE,Central Udon,1,4F,Food & Beverage
MONGNI CAFE',Central Udon,1,3F,Food & Beverage
MOSHI MOSHI,Central Udon,1,3F,Lifestyle & Specialty
MR. DIY,Central Udon,1,4F,Lifestyle & Specialty
MUANG THAI LIFE ASSURANCE,Central Udon,1,3F,Bank & Financial Services
MUJI,Central Udon,1,2F,Lifestyle & Specialty
MUJI,Central Udon,1,3F,Lifestyle & Specialty
NAI IN,Central Udon,1,GF,Lifestyle & Specialty
NEW CITY BKK,Central Udon,1,2F,Fashion & Apparel
NEW ERA,Central Udon,1,1F,Fashion & Apparel
NGG,Central Udon,1,1F,Fashion & Apparel
NITIPON CLINIC,Central Udon,1,3F,Beauty & Wellness
NONTICHAKANOMWAN,Central Udon,1,GF,Food & Beverage
OFFICEMATE,Central Udon,1,GF,Lifestyle & Specialty
OISHI RAMEN,Central Udon,1,4F,Food & Beverage
OLINO CREPE & TEA,Central Udon,1,GF,Food & Beverage
ONSONJAEWHONSAMUNPAI,Central Udon,1,GF,Food & Beverage
OOTOYA,Central Udon,1,4F,Food & Beverage
OPPO,Central Udon,1,2F,Technology & Electronics
ORIENTAL PRINCESS,Central Udon,1,1F,Beauty & Wellness
ORIGANI,Central Udon,1,1F,Beauty & Wellness
OWNDAYS,Central Udon,1,2F,Fashion & Apparel
P&F,Central Udon,1,GF,Beauty & Wellness
P.A. PHONE,Central Udon,1,2F,Technology & Electronics
PANCAKE HOUSE,Central Udon,1,GF,Food & Beverage
PANDORA,Central Udon,1,1F,Fashion & Apparel
PASSPORT CENTER สำนักงานหนังสือเดินทาง,Central Udon,1,3F,Lifestyle & Specialty
PHANNEEMOOPING,Central Udon,1,GF,Food & Beverage
PLUS CONDO,Central Udon,1,4F,Lifestyle & Specialty
POR POCHANA GUAY JUB,Central Udon,1,GF,Food & Beverage
POTATO CORNER,Central Udon,1,GF,Food & Beverage
POWER BUY,Central Udon,1,2F,Technology & Electronics
PRADAP,Central Udon,1,3F,Fashion & Apparel
PRANAKORN BOAT NOODLE,Central Udon,1,GF,Food & Beverage
PRIMA DIAMOND,Central Udon,1,2F,Fashion & Apparel
PRIMA GOLD,Central Udon,1,2F,Fashion & Apparel
PRO CLEAN,Central Udon,1,2F,Lifestyle & Specialty
PROJECT HYPE BKK.,Central Udon,1,1F,Fashion & Apparel
RACHAKUAYTEAWPED,Central Udon,1,GF,Food & Beverage
RARDNALUNGHOITIENLAO,Central Udon,1,GF,Food & Beverage
RATCHANON,Central Udon,1,2F,Technology & Electronics
REALME,Central Udon,1,2F,Technology & Electronics
ROLEX AT NGG TIMEPIECES,Central Udon,1,1F,Fashion & Apparel
ROYAL IVY REGATTA,Central Udon,1,1F,Fashion & Apparel
ROYAL PROJECT FOUNDATION,Central Udon,1,GF,Lifestyle & Specialty
ROYDEEKAITODHATYAI,Central Udon,1,GF,Food & Beverage
RUE ROYALE,Central Udon,1,3F,Beauty & Wellness
RYUJIN SUSHI,Central Udon,1,GF,Food & Beverage
S&P,Central Udon,1,4F,Food & Beverage
S&P,Central Udon,1,GF,Food & Beverage
SABINA,Central Udon,1,1F,Fashion & Apparel
SAMSONITE,Central Udon,1,1F,Fashion & Apparel
SAMSUNG,Central Udon,1,2F,Technology & Electronics
SANTA FE' STEAK,Central Udon,1,4F,Food & Beverage
SAP SA-DET,Central Udon,1,GF,Food & Beverage
SE-ED,Central Udon,1,GF,Lifestyle & Specialty
SEOUL HERE,Central Udon,1,2F,Fashion & Apparel
SEVEN OPTIC,Central Udon,1,3F,Fashion & Apparel
SHABUSHI,Central Udon,1,4F,Food & Beverage
SIAM COMMERCIAL BANK,Central Udon,1,3F,Bank & Financial Services
SIWLHANKAOLADTHONG,Central Udon,1,GF,Food & Beverage
SIZZLER,Central Udon,1,4F,Food & Beverage
SK SNEAKER,Central Udon,1,3F,Fashion & Apparel
SKECHERS,Central Udon,1,1F,Fashion & Apparel
SPORT WORLD,Central Udon,1,4F,Fashion & Apparel
STARBUCKS COFFEE,Central Udon,1,1F,Food & Beverage
STRACK YUM,Central Udon,1,GF,Food & Beverage
STUDIO 7,Central Udon,1,2F,Technology & Electronics
STUDIO PHONE,Central Udon,1,2F,Technology & Electronics
SUKISHI CHARCOAL GRILL,Central Udon,1,4F,Food & Beverage
SUPER KANG HED,Central Udon,1,GF,Food & Beverage
SUPER MODEL,Central Udon,1,4F,Fashion & Apparel
SUPER RICH,Central Udon,1,GF,Bank & Financial Services
SUPER SPORTS,Central Udon,1,3F,Fashion & Apparel
SUSHI LIKE,Central Udon,1,GF,Food & Beverage
SWEET XODA,Central Udon,1,3F,Fashion & Apparel
SWENSEN'S,Central Udon,1,1F,Food & Beverage
T-PARTNER,Central Udon,1,1F,Lifestyle & Specialty
TAR TIME,Central Udon,1,GF,Lifestyle & Specialty
TATOO BY CARTOON,Central Udon,1,3F,Lifestyle & Specialty
TAYWIN,Central Udon,1,3F,Fashion & Apparel
TAYWIN ORIGINAL STYLE,Central Udon,1,1F,Fashion & Apparel
TEMAIM,Central Udon,1,GF,Food & Beverage
TENNO SUSHI,Central Udon,1,4F,Food & Beverage
TG EXPRESS,Central Udon,1,3F,Lifestyle & Specialty
TG FONE,Central Udon,1,2F,Technology & Electronics
THE BEYOND CLINIC,Central Udon,1,3F,Beauty & Wellness
THE ICON,Central Udon,1,3F,Beauty & Wellness
THE KLINIQUE,Central Udon,1,3F,Beauty & Wellness
THE NEXT,Central Udon,1,2F,Fashion & Apparel
THE PIZZA COMPANY,Central Udon,1,4F,Food & Beverage
THE RICHEST EXCHANGE2,Central Udon,1,3F,Bank & Financial Services
THE TRAVEL STORE,Central Udon,1,2F,Fashion & Apparel
THONGSUAY,Central Udon,1,3F,Fashion & Apparel
TMB THANACHART BANK,Central Udon,1,3F,Bank & Financial Services
TONG GARDEN,Central Udon,1,GF,Food & Beverage
TOON CHA BOOM,Central Udon,1,5F,Food & Beverage
TOONT CHA BOOM,Central Udon,1,5F,Food & Beverage
TOPS MARKET,Central Udon,1,GF,Lifestyle & Specialty
TOY R US,Central Udon,1,5F,Lifestyle & Specialty
TRUE,Central Udon,1,2F,Technology & Electronics
TT ON MOBILE,Central Udon,1,2F,Technology & Electronics
TUMRUBTHAI,Central Udon,1,GF,Beauty & Wellness
TUMSANUN,Central Udon,1,GF,Food & Beverage
U DIAMOND,Central Udon,1,3F,Fashion & Apparel
UD TOYS BY BAAN GUNDAM,Central Udon,1,2F,Lifestyle & Specialty
UNIQLO,Central Udon,1,1F,Fashion & Apparel
UNIQLO,Central Udon,1,2F,Fashion & Apparel
UOB XPRESS,Central Udon,1,3F,Bank & Financial Services
URTHE,Central Udon,1,3F,Fashion & Apparel
URTHE X CLASSY,Central Udon,1,3F,Fashion & Apparel
VANS,Central Udon,1,1F,Fashion & Apparel
VIVO,Central Udon,1,2F,Technology & Electronics
