Source,Target,Weight,Floor,Category
PLAYBOY,Central Mahachai,1,1F,Fashion & Apparel
POTATO CORNER,Central Mahachai,1,1F,Food & Beverage
POWER BUY,Central Mahachai,1,2F,Technology & Electronics
PRANAKORN NOODLE,Central Mahachai,1,1F,Food & Beverage
PREM,Central Mahachai,1,1F,Fashion & Apparel
PRINCESS NAIL,Central Mahachai,1,2F,Beauty & Wellness
PRO CLEAN,Central Mahachai,1,GF,Lifestyle & Specialty
QUALITY KIDS,Central Mahachai,1,2F,Services & Education
REALME,Central Mahachai,1,2F,Technology & Electronics
ROBINSON DEPARTMENT STORE,Central Mahachai,1,1F,Lifestyle & Specialty
ROBINSON DEPARTMENT STORE,Central Mahachai,1,2F,Lifestyle & Specialty
ROBINSON DEPARTMENT STORE,Central Mahachai,1,3F,Lifestyle & Specialty
S&P,Central Mahachai,1,1F,Food & Beverage
SABINA,Central Mahachai,1,1F,Fashion & Apparel
SABO SABO,Central Mahachai,1,1F,Fashion & Apparel
SAMSAMUT MARKET,Central Mahachai,1,1F,Food & Beverage
SAMSUNG,Central Mahachai,1,2F,Technology & Electronics
SANTA FE' STEAK,Central Mahachai,1,3F,Food & Beverage
SE-ED,Central Mahachai,1,2F,Lifestyle & Specialty
SHABUSHI,Central Mahachai,1,3F,Food & Beverage
SHANE ENGLISH SCHOOL,Central Mahachai,1,3F,Services & Education
SIAM COMMERCIAL BANK,Central Mahachai,1,2F,Bank & Financial Services
SIRINYA KANPIM,Central Mahachai,1,GF,Lifestyle & Specialty
SIZZLER,Central Mahachai,1,3F,Food & Beverage
SKECHERS,Central Mahachai,1,1F,Fashion & Apparel
STARBUCKS COFFEE,Central Mahachai,1,1F,Food & Beverage
SUKISHI,Central Mahachai,1,1F,Food & Beverage
SUPER SPORTS,Central Mahachai,1,2F,Fashion & Apparel
SWENSEN'S,Central Mahachai,1,1F,Food & Beverage
TAYWIN ORIGINAL STYLE,Central Mahachai,1,1F,Fashion & Apparel
TG FONE,Central Mahachai,1,2F,Technology & Electronics
THAILAND POST OFFICE,Central Mahachai,1,GF,Lifestyle & Specialty
THE LOFT SERVICES,Central Mahachai,1,GF,Lifestyle & Specialty
THE PIZZA COMPANY,Central Mahachai,1,1F,Food & Beverage
THONGBAI KRUNGTEP,Central Mahachai,1,1F,Fashion & Apparel
THONGYAOWARAT,Central Mahachai,1,1F,Fashion & Apparel
TMB THANACHART BANK,Central Mahachai,1,2F,Bank & Financial Services
TOP SHOES,Central Mahachai,1,1F,Fashion & Apparel
TOYS FAMILY,Central Mahachai,1,3F,Lifestyle & Specialty
TRUE,Central Mahachai,1,2F,Technology & Electronics
UNIQLO,Central Mahachai,1,1F,Fashion & Apparel
UOB XPRESS,Central Mahachai,1,2F,Bank & Financial Services
V SQUARE CLINIC,Central Mahachai,1,2F,Beauty & Wellness
VIVO,Central Mahachai,1,2F,Technology & Electronics
WACOAL,Central Mahachai,1,1F,Fashion & Apparel
WAGASHI ขนมญี่ปุ่น,Central Mahachai,1,3F,Food & Beverage
WATSONS,Central Mahachai,1,2F,Beauty & Wellness
WHITE STORY,Central Mahachai,1,1F,Food & Beverage
WITH IT,Central Mahachai,1,1F,Fashion & Apparel
WRANGLER,Central Mahachai,1,1F,Fashion & Apparel
XIAOMI,Central Mahachai,1,2F,Technology & Electronics
Y-GEN COMPUTER,Central Mahachai,1,GF,Lifestyle & Specialty
YAYOI,Central Mahachai,1,3F,Food & Beverage
YUEDPAO,Central Mahachai,1,1F,Fashion & Apparel
YVES ROCHER,Central Mahachai,1,1F,Beauty & Wellness
ZEIN,Central Mahachai,1,1F,Fashion & Apparel
ZEN JAPANESE RESTAURANT,Central Mahachai,1,3F,Food & Beverage
ZENO,Central Mahachai,1,GF,Lifestyle & Specialty
ปังสยาม,Central Mahachai,1,1F,Food & Beverage
ห้างทองหวังโต๊ะกังเยาวราช,Central Mahachai,1,1F,Fashion & Apparel
เซ่งเฮง,Central Mahachai,1,1F,Fashion & Apparel
