Source,Target,Weight,Floor,Category
MOSHI MOSHI,Central Nakhon Sawan,1,1F,Lifestyle & Specialty
MR. DIY,Central Nakhon Sawan,1,2F,Lifestyle & Specialty
MUJI,Central Nakhon Sawan,1,GF,Lifestyle & Specialty
MY KID'S,Central Nakhon Sawan,1,GF,Fashion & Apparel
NAKHON SAWAN CONVENTION HALL,Central Nakhon Sawan,1,3F,Entertainment
NARA GEMS,Central Nakhon Sawan,1,GF,Fashion & Apparel
NATURE,Central Nakhon Sawan,1,GF,Fashion & Apparel
NGG,Central Nakhon Sawan,1,GF,Fashion & Apparel
NINETIES DESIGN,Central Nakhon Sawan,1,GF,Fashion & Apparel
NITIPON CLINIC,Central Nakhon Sawan,1,1F,Beauty & Wellness
OCHAYA,Central Nakhon Sawan,1,1F,Food & Beverage
OFFICEMATE,Central Nakhon Sawan,1,2F,Lifestyle & Specialty
OISHI RAMEN,Central Nakhon Sawan,1,2F,Food & Beverage
OLINO CREPE & TEA,Central Nakhon Sawan,1,GF,Food & Beverage
OOTOYA,Central Nakhon Sawan,1,2F,Food & Beverage
OPPO,Central Nakhon Sawan,1,1F,Technology & Electronics
OPTICAL 88,Central Nakhon Sawan,1,1F,Fashion & Apparel
ORIENTAL JEWELRY & GOLD,Central Nakhon Sawan,1,GF,Fashion & Apparel
ORIENTAL PRINCESS,Central Nakhon Sawan,1,1F,Beauty & Wellness
ORIGANI,Central Nakhon Sawan,1,GF,Beauty & Wellness
OTORI YAKI,Central Nakhon Sawan,1,2F,Food & Beverage
PASSION BREW CAFÉ,Central Nakhon Sawan,1,GF,Food & Beverage
PAY,Central Nakhon Sawan,1,1F,Fashion & Apparel
PEPPER LUNCH,Central Nakhon Sawan,1,2F,Food & Beverage
PHOENIX,Central Nakhon Sawan,1,LG,Fashion & Apparel
PIZZA HUT,Central Nakhon Sawan,1,GF,Food & Beverage
PLAY SOUND,Central Nakhon Sawan,1,2F,Services & Education
POTATO CORNER,Central Nakhon Sawan,1,GF,Food & Beverage
POWER BUY,Central Nakhon Sawan,1,1F,Technology & Electronics
PRADAP,Central Nakhon Sawan,1,GF,Fashion & Apparel
PRO GADGETS,Central Nakhon Sawan,1,1F,Technology & Electronics
RATCHANON,Central Nakhon Sawan,1,1F,Fashion & Apparel
REALME,Central Nakhon Sawan,1,1F,Technology & Electronics
REMAX,Central Nakhon Sawan,1,1F,Technology & Electronics
RESTER,Central Nakhon Sawan,1,1F,Lifestyle & Specialty
REV RUNNR,Central Nakhon Sawan,1,GF,Fashion & Apparel
ROYAL IVY REGATTA,Central Nakhon Sawan,1,GF,Fashion & Apparel
S&P,Central Nakhon Sawan,1,GF,Food & Beverage
SALAD FACTORY,Central Nakhon Sawan,1,GF,Food & Beverage
SAMSUNG,Central Nakhon Sawan,1,1F,Technology & Electronics
SANTA FE' STEAK,Central Nakhon Sawan,1,2F,Food & Beverage
SAVE DRUG,Central Nakhon Sawan,1,1F,Beauty & Wellness
SENGHENG,Central Nakhon Sawan,1,GF,Fashion & Apparel
SHABUSHI,Central Nakhon Sawan,1,2F,Food & Beverage
SHICHIDA,Central Nakhon Sawan,1,2F,Services & Education
SIAM COMMERCIAL BANK,Central Nakhon Sawan,1,2F,Bank & Financial Services
SKECHERS,Central Nakhon Sawan,1,GF,Fashion & Apparel
SOFAS,Central Nakhon Sawan,1,1F,Lifestyle & Specialty
SOUND CHECK KARAOKE,Central Nakhon Sawan,1,2F,Entertainment
SPIN,Central Nakhon Sawan,1,1F,Fashion & Apparel
STARBUCKS COFFEE,Central Nakhon Sawan,1,GF,Food & Beverage
SUKISHI,Central Nakhon Sawan,1,2F,Food & Beverage
SUPER SPORTS,Central Nakhon Sawan,1,1F,Fashion & Apparel
SWENSEN'S,Central Nakhon Sawan,1,2F,Food & Beverage
TG FONE,Central Nakhon Sawan,1,1F,Technology & Electronics
THE FACE SHOP,Central Nakhon Sawan,1,GF,Beauty & Wellness
THE G,Central Nakhon Sawan,1,2F,Fashion & Apparel
THE KLINIQUE,Central Nakhon Sawan,1,1F,Beauty & Wellness
THE NEXT,Central Nakhon Sawan,1,1F,Fashion & Apparel
THE TRAVEL STORE,Central Nakhon Sawan,1,GF,Fashion & Apparel
THONGBAI JEWELRY,Central Nakhon Sawan,1,GF,Fashion & Apparel
TIEWRUASAOWAREE,Central Nakhon Sawan,1,2F,Food & Beverage
TINY TOYS,Central Nakhon Sawan,1,2F,Lifestyle & Specialty
TOPS,Central Nakhon Sawan,1,GF,Lifestyle & Specialty
TPARTNER,Central Nakhon Sawan,1,1F,Lifestyle & Specialty
TRUE,Central Nakhon Sawan,1,1F,Technology & Electronics
TMB THANACHART BANK,Central Nakhon Sawan,1,2F,Bank & Financial Services
UNIQLO,Central Nakhon Sawan,1,GF,Fashion & Apparel
UOB XPRESS,Central Nakhon Sawan,1,2F,Bank & Financial Services
URTHE,Central Nakhon Sawan,1,1F,Fashion & Apparel
VANGTHONGDEE,Central Nakhon Sawan,1,GF,Fashion & Apparel
