Source,Target,Weight,Floor,Category
KANLAPAPHRUEK,Central Chonburi,1,GF,Beauty & Wellness
KAOMUNKAIKOSUN,Central Chonburi,1,GF,Food & Beverage
KASIKORN BANK,Central Chonburi,1,1F,Bank & Financial Services
KASIKORN BANK,Central Chonburi,1,1F,Bank & Financial Services
KAWAI MUSIC SCHOOL,Central Chonburi,1,3F,Services & Education
KFC,Central Chonburi,1,3F,Food & Beverage
KID'S BOX,Central Chonburi,1,3F,Entertainment
KIDDY LAND,Central Chonburi,1,3F,Entertainment
KISEKI,Central Chonburi,1,3F,Food & Beverage
KOI THE,Central Chonburi,1,GF,Food & Beverage
KOREADONG THAILAND,Central Chonburi,1,GF,Food & Beverage
KRISPY KREME,Central Chonburi,1,GF,Food & Beverage
KRUNG THAI BANK,Central Chonburi,1,1F,Bank & Financial Services
KUAICHAPDAMNOENSADUAK,Central Chonburi,1,GF,Food & Beverage
KWAN NEW WAY SALON REVOLUTION,Central Chonburi,1,2F,Beauty & Wellness
LACOSTE,Central Chonburi,1,1F,Fashion & Apparel
LADIE SPEED,Central Chonburi,1,1F,Beauty & Wellness
LAOS YUAN,Central Chonburi,1,3F,Food & Beverage
LAVILIER,Central Chonburi,1,1F,Beauty & Wellness
LEVI'S,Central Chonburi,1,1F,Fashion & Apparel
LOVE PHONE,Central Chonburi,1,2F,Technology & Electronics
LUCKY MILK,Central Chonburi,1,3F,Food & Beverage
LUKCHINCHAORUEA,Central Chonburi,1,GF,Food & Beverage
LUXURY LIVING INTERNATIONAL,Central Chonburi,1,GF,Lifestyle & Specialty
LYN,Central Chonburi,1,1F,Fashion & Apparel
LYN AROUND,Central Chonburi,1,1F,Fashion & Apparel
MC DONALD'S,Central Chonburi,1,1F,Food & Beverage
MC JEANS,Central Chonburi,1,1F,Fashion & Apparel
MELODY KARAOKE,Central Chonburi,1,4F,Entertainment
MERREZCA,Central Chonburi,1,1F,Beauty & Wellness
MINISO,Central Chonburi,1,GF,Lifestyle & Specialty
MISTER DONUT,Central Chonburi,1,1F,Food & Beverage
MISTY MYNX,Central Chonburi,1,1F,Fashion & Apparel
MIX PHONE,Central Chonburi,1,2F,Technology & Electronics
MIXUE,Central Chonburi,1,3F,Food & Beverage
MK RESTAURANT,Central Chonburi,1,3F,Food & Beverage
MO-MO-PARADISE,Central Chonburi,1,3F,Food & Beverage
MOBIZZ,Central Chonburi,1,2F,Technology & Electronics
MOLTO,Central Chonburi,1,GF,Food & Beverage
MONKEY SHAKE BY จิ๊บ,Central Chonburi,1,GF,Food & Beverage
MOS GUITAR,Central Chonburi,1,3F,Lifestyle & Specialty
MOSHI MOSHI,Central Chonburi,1,GF,Lifestyle & Specialty
