mall_code,mall_name,store_name,group,brand,categories,floors,external_id,location_id
CBR,Central Chonburi,CRUISE BY CHRISTIANA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,997046cf-25db-50a7-b8e1-fac905de7048,el_688ce5c5180e650001fea3d7
CBR,Central Chonburi,MONARCH | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,3b2d1a34-50ae-5a6f-a38d-e22a92b45136,el_688ce5c5180e650001fea3d8
CBR,Central Chonburi,FITFLOP | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,2c0e1f2f-7ac1-54df-a3f4-93f14bd5a06b,el_688ce5c5180e650001fea3da
CBR,Central Chonburi,NECA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,146ddaa5-eca9-5f5b-ad37-15b7ed5dc523,el_688ce5c5180e650001fea3db
CBR,Central Chonburi,DORTMUEND | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,2cacbef7-9588-5768-9642-00afb60ed55b,el_688ce5c5180e650001fea3df
CBR,Central Chonburi,CARE BEARS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,8c0d79f0-dfc4-57b9-9df6-ce38061eaff2,el_688ce5c5180e650001fea3e2
CBR,Central Chonburi,TELLME | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,5d4d740e-6058-5151-af8b-11f0a67c96e6,el_688ce5c5180e650001fea3e3
CBR,Central Chonburi,VTECH | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,c060ab44-6137-52cb-a3c7-9938b557c21d,el_688ce5c5180e650001fea3e5
CBR,Central Chonburi,EXPRESSIONS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,58084967-b590-548d-af4f-509875a43642,el_688ce5c5180e650001fea3e7
CBR,Central Chonburi,SARAN | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,10832656-dd9b-5569-aa0e-2f6cd097ae83,el_688ce5c5180e650001fea3e8
CBR,Central Chonburi,ELLE | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,15a73026-7f0a-574c-a38a-a648bd123e88,el_688ce5c5180e650001fea3e9
CBR,Central Chonburi,MARCO POLO | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,35d63238-f68a-5e72-aa12-abdc6d88bda2,el_688ce5c5180e650001fea3ea
CBR,Central Chonburi,ALAIN DELON | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,bb1c6dc6-3608-5bf3-8951-e88db0631400,el_688ce5c5180e650001fea3eb
CBR,Central Chonburi,DIOR | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,700e31cb-c8cd-5015-9029-1e0e8dff5c83,el_688ce5c5180e650001fea3ec
CBR,Central Chonburi,BP WORLD | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,8957e769-9801-5c0f-a0d0-b8fd10e90692,el_688ce5c5180e650001fea3ed
CBR,Central Chonburi,VERSACE | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,9b9c5458-e371-5983-9f0a-3b1fc31311a3,el_688ce5c5180e650001fea3ee
CBR,Central Chonburi,ADIDAS NEO CREDIT | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,a7766380-383e-5a1b-984f-496f0be8fc26,el_688ce5c5180e650001fea3ef
CBR,Central Chonburi,JOINUS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,c60e4be3-28c7-5ed3-9e80-7eedc4d31937,el_688ce5c5180e650001fea3f0
CBR,Central Chonburi,LTD | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,46338ee6-9fc6-5ad4-a7a2-63d9e83a60ad,el_688ce5c5180e650001fea3f1
CBR,Central Chonburi,LACOSTE | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,59c15c47-b2a2-5ee0-9dd7-285fa3323806,el_688ce5c5180e650001fea3f2
CBR,Central Chonburi,SWASH | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,27bac52d-ebbc-5b77-88df-ebd928483cfe,el_688ce5c5180e650001fea3f4
CBR,Central Chonburi,SR | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,3a17d3aa-8656-5b15-bde4-2e300c96f07c,el_688ce5c5180e650001fea3f5
CBR,Central Chonburi,LEE | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,5b0ee1a8-44a5-5674-af4d-20182ed35075,el_688ce5c5180e650001fea3f6
CBR,Central Chonburi,DISNEY JEANS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,91f64353-f9a9-5c15-8a39-79d73d28ba96,el_688ce5c5180e650001fea3f7
CBR,Central Chonburi,ENFANT | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,5a2ff4fe-a977-5c1c-be3a-3c68c2241bc5,el_688ce5c5180e650001fea3f9
CBR,Central Chonburi,POLO CLUB | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,9f77d8c4-a657-5da6-88f7-4cededf594ba,el_688ce5c5180e650001fea3fa
CBR,Central Chonburi,VING | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,c0350f83-11f2-5907-b652-18e091eac8db,el_688ce5c5180e650001fea3fb
CBR,Central Chonburi,SKII | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,0a604eb9-9c45-51da-92ae-17c7a0f9f85a,el_688ce5c5180e650001fea3fd
CBR,Central Chonburi,OMAZZ | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,b8ab09aa-52be-5ffe-8b7b-ee107a3cd46d,el_688ce5c5180e650001fea401
CBR,Central Chonburi,POLO WORLD | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,89b002b2-50a0-5384-9a07-ec08b4bb7a10,el_688ce5c5180e650001fea402
CBR,Central Chonburi,SILVERLIT | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,224b069d-15b7-56bd-bab8-43dd0f2ee540,el_688ce5c5180e650001fea403
CBR,Central Chonburi,CIERA | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,d8307a00-f86b-59a3-a6ec-59f89c3ae109,el_688ce5c5180e650001fea405
CBR,Central Chonburi,NIYOM JEANS | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,6bdda3a5-4431-53eb-9bcd-a6cec1af28a9,el_688ce5c5180e650001fea407
CBR,Central Chonburi,WONGNIMIT | Robinson Department Store,CRC,Central / Robinson Dept Store,Robinson Department Store,,3e4d7195-ce27-53ca-b738-5a4cc845266a,el_688ce5c5180e650001fea408
