Source,Target,Weight,Floor,Category
KORIYA,Central Korat,1,4F,Food & Beverage
KRUNG THAI BANK,Central Korat,1,3F,Bank & Financial Services
KRUNGSRI FIRST CHOICE,Central Korat,1,3F,Bank & Financial Services
KT OPTIC,Central Korat,1,3F,Fashion
KUAYTIEWPAOPAK,Central Korat,1,GF,Food & Beverage
KUAYTIEWRUERENMOOTUNBYNONGFAH,Central Korat,1,GF,Food & Beverage
KUMON,Central Korat,1,3F,Education
LALIN,Central Korat,1,1F,Fashion
LANA,Central Korat,1,2F,Fashion
LAOS YUAN,Central Korat,1,4F,Food & Beverage
LEE KITCHEN,Central Korat,1,GF,Food & Beverage
LEMONY,Central Korat,1,GF,Lifestyle & Specialty
LOOKER,Central Korat,1,1F,Fashion
LUXO'NE,Central Korat,1,3F,Fashion
LUXOPTIC,Central Korat,1,3F,Fashion
LYN,Central Korat,1,1F,Fashion
MATH TALENT BY DR. YING,Central Korat,1,3F,Education
MC JEANS,Central Korat,1,1F,Fashion
MEZZO,Central Korat,1,1F,Food & Beverage
MISTER DONUT,Central Korat,1,2F,Food & Beverage
MIXUE,Central Korat,1,GF,Food & Beverage
MK RESTAURANTS,Central Korat,1,4F,Food & Beverage
MOMOYO,Central Korat,1,1F,Food & Beverage
MOSHI MOSHI,Central Korat,1,GF,Lifestyle & Specialty
MR. BUN,Central Korat,1,3F,Food & Beverage
MR. DIY,Central Korat,1,3F,Lifestyle & Specialty
NAKHON RATCHASIMA PROVINCE TRANSPORT,Central Korat,1,3F,Services
NAKLA MOOKATA,Central Korat,1,GF,Food & Beverage
NAMPRIKKAIJEAWKHUNKAEW,Central Korat,1,GF,Food & Beverage
NESCAFE,Central Korat,1,1F,Food & Beverage
NEW CUTE,Central Korat,1,1F,Fashion
NINETIES DESIGN,Central Korat,1,1F,Fashion
NITIPON CLINIC,Central Korat,1,3F,Beauty & Wellness
NOBI CHA,Central Korat,1,GF,Food & Beverage
O.W.L.,Central Korat,1,2F,Fashion
OFFICEMATE,Central Korat,1,GF,Lifestyle & Specialty
OISHI EATERIUM,Central Korat,1,GF,Food & Beverage
OPPO,Central Korat,1,2F,Technology
OPTIC SQUARE,Central Korat,1,3F,Fashion
ORTHO SMILE CENTRAL STUDIO,Central Korat,1,3F,Beauty & Wellness
OTOP,Central Korat,1,4F,Lifestyle & Specialty
P.A.PHONE,Central Korat,1,2F,Technology
PANDORA,Central Korat,1,1F,Fashion
PASSPORT OFFICE,Central Korat,1,3F,Services
PEPPER LUNCH,Central Korat,1,4F,Food & Beverage
PERFECT 10,Central Korat,1,3F,Beauty & Wellness
PHATARAMANEE,Central Korat,1,1F,Fashion
PHOTOPHONE,Central Korat,1,2F,Technology
PIANISMO MUSIC ACADEMY,Central Korat,1,3F,Education
PISSAMAI COFFEE,Central Korat,1,3F,Food & Beverage
PIZZA HUT,Central Korat,1,GF,Food & Beverage
PLAYBOY,Central Korat,1,1F,Fashion
POLI-CHEM,Central Korat,1,GF,Services
POMELO,Central Korat,1,1F,Fashion
POTATO CORNER,Central Korat,1,GF,Food & Beverage
POWER BUY,Central Korat,1,2F,Technology
PRADAP,Central Korat,1,1F,Fashion
PRANAKORN NOODLE,Central Korat,1,GF,Food & Beverage
PREM,Central Korat,1,1F,Fashion
PROMISE,Central Korat,1,3F,Bank & Financial Services
PUNTHAI COFFEE,Central Korat,1,2F,Food & Beverage
RAKHANG,Central Korat,1,1F,Fashion
RATCHANON,Central Korat,1,2F,Fashion
ROSE RELAX,Central Korat,1,3F,Beauty & Wellness
S&P,Central Korat,1,GF,Food & Beverage
SABINA,Central Korat,1,1F,Fashion
SAINT ETOILE BY YAMAZAKI,Central Korat,1,GF,Food & Beverage
SAMEROS GELATO CAFE,Central Korat,1,GF,Food & Beverage
SAMSUNG,Central Korat,1,2F,Technology
SANTA FE',Central Korat,1,4F,Food & Beverage
SEECHA,Central Korat,1,1F,Fashion
SENSE OF BEAUTY,Central Korat,1,3F,Beauty & Wellness
SFX CINEMA,Central Korat,1,4F,Entertainment
SHABUSHI,Central Korat,1,4F,Food & Beverage
SHANE ENGLISH SCHOOL,Central Korat,1,3F,Education
SHINKANZEN SUSHI,Central Korat,1,1F,Food & Beverage
SIAM COMMERCIAL BANK,Central Korat,1,3F,Bank & Financial Services
SIAMAUMPAWA,Central Korat,1,GF,Food & Beverage
SIZZLER,Central Korat,1,4F,Food & Beverage
SKECHERS,Central Korat,1,1F,Fashion
SOMTAMJEKAI,Central Korat,1,GF,Food & Beverage
STARBUCKS COFFEE,Central Korat,1,1F,Food & Beverage
STORE CUTE,Central Korat,1,GF,Fashion
STRAWBERRY CASE,Central Korat,1,2F,Technology
SUPER SPORTS,Central Korat,1,2F,Fashion
SURANAREE PINGPONG,Central Korat,1,4F,Entertainment
SWENSEN'S,Central Korat,1,4F,Food & Beverage
TAEKWONDO ACADEMY,Central Korat,1,3F,Education
TAYWIN ORIGINAL STYLE,Central Korat,1,2F,Fashion
TG FONE,Central Korat,1,2F,Technology
THE ART WEDDING,Central Korat,1,3F,Lifestyle & Specialty
THE COCOA BAR,Central Korat,1,4F,Food & Beverage
THE FACE SHOP,Central Korat,1,2F,Beauty & Wellness
THE FARM,Central Korat,1,1F,Food & Beverage
THE HAIR CARE'S,Central Korat,1,3F,Beauty & Wellness
THE PIZZA COMPANY,Central Korat,1,4F,Food & Beverage
TMB THANACHART BANK,Central Korat,1,3F,Bank & Financial Services
TOPS,Central Korat,1,GF,Lifestyle & Specialty
TOPS DAILY,Central Korat,1,GF,Lifestyle & Specialty
TPARTNER,Central Korat,1,2F,Lifestyle & Specialty
TRUE,Central Korat,1,2F,Technology
TRUE SPHERE,Central Korat,1,2F,Technology
TUMRABTHAI,Central Korat,1,GF,Beauty & Wellness
TWELVE VICTORY,Central Korat,1,3F,Bank & Financial Services
TWZ BY โคราช นวกิจ,Central Korat,1,2F,Technology
UMAY PLUS,Central Korat,1,3F,Bank & Financial Services
UNDERDOME,Central Korat,1,1F,Fashion
UNG HENG LEE GOLD,Central Korat,1,GF,Fashion
UNIQLO,Central Korat,1,1F,Fashion
URTHE,Central Korat,1,1F,Fashion
VANILLA DESSEERT CAFE,Central Korat,1,3F,Food & Beverage
VERRA,Central Korat,1,3F,Fashion
VIVO,Central Korat,1,2F,Technology
WARAPORN SALAPAO,Central Korat,1,GF,Food & Beverage
WARISS BEAUTY NAILS & LASH,Central Korat,1,2F,Beauty & Wellness
WATSONS,Central Korat,1,3F,Beauty & Wellness
WATSONS,Central Korat,1,GF,Beauty & Wellness
WEEKEND STUDIO,Central Korat,1,1F,Fashion
WHITE STORY,Central Korat,1,GF,Food & Beverage
WONDER PHOTO SHOP,Central Korat,1,2F,Technology
XIAOMI,Central Korat,1,2F,Technology
YAMADAYA,Central Korat,1,GF,Food & Beverage
YAMAHA MUSIC SHCOOL,Central Korat,1,3F,Education
YAYOI,Central Korat,1,4F,Food & Beverage
YKC VISA SERVICE CENTER,Central Korat,1,3F,Services
YOKSOD,Central Korat,1,GF,Food & Beverage
YUEDPAO,Central Korat,1,1F,Fashion
YVES ROCHER,Central Korat,1,1F,Beauty & Wellness
ZEIN,Central Korat,1,2F,Fashion
ZELYN,Central Korat,1,1F,Fashion
ZEN,Central Korat,1,4F,Food & Beverage
ตำโคราช,Central Korat,1,GF,Food & Beverage
ศูนย์หม่อนไหม,Central Korat,1,4F,Lifestyle & Specialty
ห้างทองเซ่งเฮงเยาวราช,Central Korat,1,GF,Fashion
ห้างทองเยาวราชกรุงเทพ,Central Korat,1,GF,Fashion
ไปรษณีย์ไทย,Central Korat,1,3F,Services
