Source,Target,Weight,Floor,Category
POLI-CHEM,Central Ayutthaya,1,LG,Lifestyle & Specialty
PORNKASEM,Central Ayutthaya,1,1F,Beauty & Wellness
POTATO CORNER,Central Ayutthaya,1,GF,Food & Beverage
POWER BUY,Central Ayutthaya,1,1F,Technology & Electronics
PRAM,Central Ayutthaya,1,GF,Lifestyle & Specialty
RATCHANON,Central Ayutthaya,1,1F,Technology & Electronics
ROBINSON DEPARTMENT STORE,Central Ayutthaya,1,1F,Lifestyle & Specialty
ROBINSON DEPARTMENT STORE,Central Ayutthaya,1,GF,Lifestyle & Specialty
ROSE JEWELRY STUDIO,Central Ayutthaya,1,GF,Fashion & Apparel
S&P,Central Ayutthaya,1,GF,Food & Beverage
SABINA,Central Ayutthaya,1,GF,Fashion & Apparel
SAMSUNG,Central Ayutthaya,1,1F,Technology & Electronics
SANTA FE' STEAK,Central Ayutthaya,1,2F,Food & Beverage
SE-ED,Central Ayutthaya,1,1F,Lifestyle & Specialty
SENG HEGN,Central Ayutthaya,1,GF,Fashion & Apparel
SF CINEMA,Central Ayutthaya,1,2F,Entertainment
SHABUSHI,Central Ayutthaya,1,2F,Food & Beverage
SHANE ENGLISH SCHOOL,Central Ayutthaya,1,2F,Services & Education
SHANE ENGLISH SCHOOL,Central Ayutthaya,1,2F,Services & Education
SHINKANZEN SUSHI,Central Ayutthaya,1,2F,Food & Beverage
SIAM COMMERCIAL BANK,Central Ayutthaya,1,2F,Bank & Financial Services
SKECHERS,Central Ayutthaya,1,GF,Fashion & Apparel
STARBUCKS COFFEE,Central Ayutthaya,1,GF,Food & Beverage
STUDIO 7,Central Ayutthaya,1,GF,Technology & Electronics
SUKISHI CHARCOAL GRILL,Central Ayutthaya,1,2F,Food & Beverage
SUPER SPORTS,Central Ayutthaya,1,1F,Fashion & Apparel
SWENSEN'S,Central Ayutthaya,1,2F,Food & Beverage
TAYWIN ORIGINAL STYLE,Central Ayutthaya,1,GF,Fashion & Apparel
TG FONE,Central Ayutthaya,1,1F,Technology & Electronics
THE KLINIQUE,Central Ayutthaya,1,1F,Beauty & Wellness
THE NEXT,Central Ayutthaya,1,1F,Fashion & Apparel
THE PIZZA COMPANY,Central Ayutthaya,1,2F,Food & Beverage
THE ROCK SHABU,Central Ayutthaya,1,2F,Food & Beverage
TOPS DAILY,Central Ayutthaya,1,GF,Lifestyle & Specialty
TOPS MARKET,Central Ayutthaya,1,GF,Lifestyle & Specialty
TRUE,Central Ayutthaya,1,1F,Technology & Electronics
TTB BANK,Central Ayutthaya,1,2F,Bank & Financial Services
UNIQLO,Central Ayutthaya,1,GF,Fashion & Apparel
UOB XPRESS,Central Ayutthaya,1,2F,Bank & Financial Services
URTHE,Central Ayutthaya,1,GF,Fashion & Apparel
WACOAL,Central Ayutthaya,1,GF,Fashion & Apparel
WAGASHI,Central Ayutthaya,1,2F,Food & Beverage
WANG TOA KANG YAOWARAT GOLD,Central Ayutthaya,1,GF,Fashion & Apparel
WASHI,Central Ayutthaya,1,2F,Food & Beverage
WATSONS,Central Ayutthaya,1,1F,Beauty & Wellness
XIAOMI,Central Ayutthaya,1,1F,Technology & Electronics
YAMAZAKI,Central Ayutthaya,1,GF,Food & Beverage
YAYOI,Central Ayutthaya,1,2F,Food & Beverage
YIMWHAN DENTAL CLINIC,Central Ayutthaya,1,1F,Beauty & Wellness
YOGURUTO,Central Ayutthaya,1,1F,Food & Beverage
YUEDPAO,Central Ayutthaya,1,GF,Fashion & Apparel
YUMEYA,Central Ayutthaya,1,2F,Lifestyle & Specialty
YVES ROCHER,Central Ayutthaya,1,GF,Beauty & Wellness
ก๋วยเตี๋ยวเรือพระนคร,Central Ayutthaya,1,GF,Food & Beverage
LAO YUAN,Central Ayutthaya,1,2F,Food & Beverage
