Source,Target,Weight,Floor,Category
IROHA RAMEN,Central Rama 3,1,6F,Food & Beverage
ADIDAS,Central Rama 3,1,2F,Fashion & Apparel
ADVICE,Central Rama 3,1,3F,Technology & Electronics
AIIZ,Central Rama 3,1,1F,Fashion & Apparel
AIS,Central Rama 3,1,3F,Technology & Electronics
AKA,Central Rama 3,1,5F,Food & Beverage
AMOR,Central Rama 3,1,GF,Food & Beverage
ANANTRA,Central Rama 3,1,4F,Beauty & Wellness
ANNA LAUNDRY,Central Rama 3,1,B1,Lifestyle & Specialty
ANNAKANOMJEEN,Central Rama 3,1,6F,Food & Beverage
AQUA COSMETICS,Central Rama 3,1,2F,Beauty & Wellness
AROIDEE,Central Rama 3,1,6F,Food & Beverage
AROIRIMRABIANG,Central Rama 3,1,6F,Food & Beverage
ASA,Central Rama 3,1,B1,Lifestyle & Specialty
AU BON PAIN,Central Rama 3,1,1F,Food & Beverage
AUNTIE ANNE'S,Central Rama 3,1,GF,Food & Beverage
AURORA DIAMOND,Central Rama 3,1,3F,Fashion & Apparel
B GRILL STEAK,Central Rama 3,1,6F,Food & Beverage
B2S,Central Rama 3,1,6F,Lifestyle & Specialty
BABIES GENIUS,Central Rama 3,1,7F,Services & Education
BAIMIANG,Central Rama 3,1,GF,Food & Beverage
BANANA,Central Rama 3,1,3F,Technology & Electronics
BANANA,Central Rama 3,1,3F,Technology & Electronics
BANANA LEAF,Central Rama 3,1,5F,Food & Beverage
BANARMAE ARHANTAMSANG,Central Rama 3,1,6F,Food & Beverage
BANGKOK BANK,Central Rama 3,1,4F,Bank & Financial Services
BANGKOK INSURANCE,Central Rama 3,1,4F,Bank & Financial Services
BANK OF AYUDHYA,Central Rama 3,1,4F,Bank & Financial Services
BANLOOKCHIN,Central Rama 3,1,6F,Food & Beverage
BAR-B-Q PLAZA,Central Rama 3,1,5F,Food & Beverage
BEANS COFFEE ROASTER,Central Rama 3,1,GF,Food & Beverage
BEAUTRIUM,Central Rama 3,1,1F,Beauty & Wellness
BETTER VISION,Central Rama 3,1,GF,Fashion & Apparel
BIG CAMERA,Central Rama 3,1,3F,Technology & Electronics
BILIX,Central Rama 3,1,2F,Fashion & Apparel
BLOOMING HOUSE,Central Rama 3,1,2F,Fashion & Apparel
BLUE COFFEE,Central Rama 3,1,1F,Food & Beverage
BONCHON,Central Rama 3,1,6F,Food & Beverage
BOOST JUICE BAR,Central Rama 3,1,GF,Food & Beverage
BOOTS,Central Rama 3,1,2F,Beauty & Wellness
BORA BEAUTY SALON,Central Rama 3,1,3F,Beauty & Wellness
BS BRANDNAME,Central Rama 3,1,1F,Fashion & Apparel
C&D,Central Rama 3,1,2F,Fashion & Apparel
CAFE AMAZON,Central Rama 3,1,3F,Food & Beverage
CAMERA&LENS,Central Rama 3,1,3F,Technology & Electronics
CC-OO,Central Rama 3,1,2F,Fashion & Apparel
CENTRAL DEPARTMENT STORE,Central Rama 3,1,1F,Lifestyle & Specialty
CHA KUNGRAO,Central Rama 3,1,GF,Fashion & Apparel
CHABUTON,Central Rama 3,1,GF,Food & Beverage
CHARLES & KEITH,Central Rama 3,1,1F,Fashion & Apparel
CHATRAMUE,Central Rama 3,1,GF,Food & Beverage
CHER CLINIC,Central Rama 3,1,4F,Beauty & Wellness
CIMB THAI BANK,Central Rama 3,1,3F,Bank & Financial Services
CLAY WORKS,Central Rama 3,1,6F,Lifestyle & Specialty
CLICK CLACK,Central Rama 3,1,2F,Lifestyle & Specialty
COCO ICHIBANYA,Central Rama 3,1,1F,Food & Beverage
COFFEE TODAY,Central Rama 3,1,5F,Food & Beverage
COFFEE WORLD,Central Rama 3,1,1F,Food & Beverage
COLD STONE CREAMERY,Central Rama 3,1,2F,Food & Beverage
COLTHES FIXING,Central Rama 3,1,2F,Lifestyle & Specialty
COWAY,Central Rama 3,1,3F,Lifestyle & Specialty
CPS CHAPS,Central Rama 3,1,2F,Fashion & Apparel
CURLY CUT,Central Rama 3,1,2F,Beauty & Wellness
CUTE PRESS,Central Rama 3,1,GF,Beauty & Wellness
DAIRY QUEEN,Central Rama 3,1,GF,Food & Beverage
DAISO,Central Rama 3,1,4F,Lifestyle & Specialty
DARAKA DIAMOND,Central Rama 3,1,3F,Fashion & Apparel
DESTINY CLINIC,Central Rama 3,1,4F,Beauty & Wellness
DOLCE GELATINO,Central Rama 3,1,2F,Food & Beverage
DOOKKI,Central Rama 3,1,GF,Food & Beverage
DTAC,Central Rama 3,1,3F,Technology & Electronics
DUNLOPILLO,Central Rama 3,1,6F,Lifestyle & Specialty
EARW THAI SUKI BORAN,Central Rama 3,1,5F,Food & Beverage
EASY MONEY SHOP,Central Rama 3,1,GF,Fashion & Apparel
EGG OPTICAL BOUTIQUE,Central Rama 3,1,GF,Fashion & Apparel
EGG STORY,Central Rama 3,1,6F,Food & Beverage
EPIPHANY,Central Rama 3,1,3F,Fashion & Apparel
EPS DESIGN,Central Rama 3,1,B1,Lifestyle & Specialty
ERAWAN GEMS,Central Rama 3,1,3F,Fashion & Apparel
ERGO,Central Rama 3,1,4F,Bank & Financial Services
EXPORT SHOP,Central Rama 3,1,2F,Fashion & Apparel
EYE CLASS,Central Rama 3,1,2F,Fashion & Apparel
EYE LAB EXCLUSIVE,Central Rama 3,1,GF,Fashion & Apparel
EYE LEVEL LEARNING CENTER,Central Rama 3,1,7F,Services & Education
FITNESS FIRST,Central Rama 3,1,6F,Lifestyle & Specialty
FLEURS EN PRAIRIE CAFE,Central Rama 3,1,GF,Food & Beverage
FOCUS,Central Rama 3,1,3F,Technology & Electronics
FOOD PATIO,Central Rama 3,1,6F,Food & Beverage
FUJI,Central Rama 3,1,GF,Food & Beverage
FUKU MATCHA,Central Rama 3,1,5F,Food & Beverage
FUN PLANET,Central Rama 3,1,7F,Entertainment
FUTURE LIVING,Central Rama 3,1,4F,Lifestyle & Specialty
GAGA,Central Rama 3,1,GF,Food & Beverage
GIFT HOUSE,Central Rama 3,1,2F,Fashion & Apparel
GIORDANO,Central Rama 3,1,1F,Fashion & Apparel
GLAMME CLINIC,Central Rama 3,1,2F,Beauty & Wellness
GNC,Central Rama 3,1,GF,Beauty & Wellness
GOVERNMENT HOUSING BANK,Central Rama 3,1,4F,Bank & Financial Services
GOVERNMENT SAVINGS BANK,Central Rama 3,1,4F,Bank & Financial Services
GQ,Central Rama 3,1,1F,Fashion & Apparel
GUAYJABYUANBYPORUBON,Central Rama 3,1,6F,Food & Beverage
GUY LAROCHE,Central Rama 3,1,2F,Fashion & Apparel
HAAGEN-DAZS,Central Rama 3,1,6F,Food & Beverage
HACHIBAN RAMEN,Central Rama 3,1,5F,Food & Beverage
HAI DI LAO,Central Rama 3,1,5F,Food & Beverage
HAIR TEX,Central Rama 3,1,6F,Beauty & Wellness
HANG THONG KHUN HUA,Central Rama 3,1,3F,Fashion & Apparel
HUA SENG HONG,Central Rama 3,1,1F,Food & Beverage
HUAWEI,Central Rama 3,1,3F,Technology & Electronics
I CAN READ,Central Rama 3,1,7F,Services & Education
I STUDIO,Central Rama 3,1,2F,Technology & Electronics
IMAROINAMJIMSOOTBORAN,Central Rama 3,1,6F,Food & Beverage
INDY CREPE & BAKED,Central Rama 3,1,6F,Food & Beverage
INLINGUA,Central Rama 3,1,6F,Services & Education
INTER,Central Rama 3,1,6F,Food & Beverage
IT CITY,Central Rama 3,1,3F,Technology & Electronics
IT CITY,Central Rama 3,1,3F,Technology & Electronics
JACOB,Central Rama 3,1,2F,Fashion & Apparel
JADE GARDEN,Central Rama 3,1,6F,Food & Beverage
JASPAL,Central Rama 3,1,1F,Fashion & Apparel
JAYMART,Central Rama 3,1,3F,Technology & Electronics
JAYMART,Central Rama 3,1,3F,Technology & Electronics
JIB,Central Rama 3,1,3F,Technology & Electronics
JIENG FISH BALL,Central Rama 3,1,5F,Food & Beverage
JINTAICECREAM,Central Rama 3,1,6F,Food & Beverage
JONES SALAD,Central Rama 3,1,GF,Food & Beverage
JS PHONE,Central Rama 3,1,3F,Technology & Electronics
JUBILEE DIAMOND,Central Rama 3,1,3F,Fashion & Apparel
K. ACCESSORIES,Central Rama 3,1,3F,Technology & Electronics
KAITUNMARAAYUTTAYA,Central Rama 3,1,6F,Food & Beverage
KANOM BANN AYAKARN,Central Rama 3,1,GF,Food & Beverage
KANOMBEUANGMAESOMJIT,Central Rama 3,1,6F,Food & Beverage
KANOMTOKYO,Central Rama 3,1,6F,Food & Beverage
KAOMANKAIPRATUNAM,Central Rama 3,1,6F,Food & Beverage
KASIKORN BANK,Central Rama 3,1,4F,Bank & Financial Services
KATSUYA,Central Rama 3,1,GF,Food & Beverage
KAWAI MUSIC SCHOOL,Central Rama 3,1,7F,Services & Education
KFC,Central Rama 3,1,1F,Food & Beverage
KG18,Central Rama 3,1,GF,Food & Beverage
KHAMOOJUKKAPAT,Central Rama 3,1,6F,Food & Beverage
KIATNAKIN BANK,Central Rama 3,1,4F,Bank & Financial Services
KIPLING,Central Rama 3,1,2F,Fashion & Apparel
KOBE STEAK HOUSE,Central Rama 3,1,6F,Food & Beverage
KOI THE,Central Rama 3,1,6F,Food & Beverage
KRISPY KREME,Central Rama 3,1,1F,Food & Beverage
KRUNG THAI BANK,Central Rama 3,1,3F,Bank & Financial Services
KRUNGSRI FIRST CHOICE,Central Rama 3,1,4F,Bank & Financial Services
KUAY TEOW REUA KLANG KRUNG,Central Rama 3,1,GF,Food & Beverage
KUAYJUBMORDINDAMNOENSADUAK,Central Rama 3,1,6F,Food & Beverage
KUAYTEAW CHAAIKLONGHONGNIGHT,Central Rama 3,1,6F,Food & Beverage
KUB KAO KUB PLA,Central Rama 3,1,1F,Food & Beverage
KWANG THONG SPECIAL,Central Rama 3,1,GF,Food & Beverage
LABX,Central Rama 3,1,4F,Beauty & Wellness
LACOSTE,Central Rama 3,1,1F,Fashion & Apparel
LAEM CHAROEN SEAFOOD,Central Rama 3,1,6F,Food & Beverage
LAOS YUAN,Central Rama 3,1,5F,Food & Beverage
LASSIE DECOR,Central Rama 3,1,GF,Lifestyle & Specialty
LEICA,Central Rama 3,1,3F,Technology & Electronics
LEMONY,Central Rama 3,1,6F,Lifestyle & Specialty
LENS & TIME,Central Rama 3,1,GF,Fashion & Apparel
LEVI'S,Central Rama 3,1,1F,Fashion & Apparel
LITTLE CHINESE LEARNING CENTER,Central Rama 3,1,7F,Services & Education
LUXURY,Central Rama 3,1,GF,Fashion & Apparel
LYN,Central Rama 3,1,2F,Fashion & Apparel
LYN AROUND,Central Rama 3,1,2F,Fashion & Apparel
MAEMEEKAOSOI,Central Rama 3,1,6F,Food & Beverage
MAESREE,Central Rama 3,1,6F,Food & Beverage
MAESRIRUEN,Central Rama 3,1,GF,Food & Beverage
MAGNANO,Central Rama 3,1,1F,Lifestyle & Specialty
MAJOR CINEPLEX,Central Rama 3,1,7F,Entertainment
MARRAKESH EXCLUSIVE SPA,Central Rama 3,1,4F,Beauty & Wellness
MATH TALENT BY DR. YING,Central Rama 3,1,6F,Services & Education
MATSUMOTO KIYOSHI,Central Rama 3,1,GF,Beauty & Wellness
MC DONALD'S,Central Rama 3,1,2F,Food & Beverage
MEZZO COFFEE,Central Rama 3,1,2F,Food & Beverage
MISTER DONUT,Central Rama 3,1,5F,Food & Beverage
MISTER EYES,Central Rama 3,1,GF,Fashion & Apparel
MIXUE,Central Rama 3,1,6F,Food & Beverage
MK RESTAURANT,Central Rama 3,1,5F,Food & Beverage
MO-MO-PARADISE,Central Rama 3,1,6F,Food & Beverage
MOBEL ART,Central Rama 3,1,2F,Lifestyle & Specialty
MONTIPA,Central Rama 3,1,GF,Fashion & Apparel
MOUTEA TOTAE,Central Rama 3,1,6F,Food & Beverage
MR.JOLLY YOGURT,Central Rama 3,1,5F,Food & Beverage
MR. SHAKE,Central Rama 3,1,2F,Food & Beverage
MUST LOOJ MORE,Central Rama 3,1,GF,Fashion & Apparel
MX CAKES & BAKERY,Central Rama 3,1,GF,Food & Beverage
MYEONGRYUN JINSA GALBI,Central Rama 3,1,5F,Food & Beverage
NAIL CLUB,Central Rama 3,1,4F,Beauty & Wellness
NGAN PAK LUNG PIAK,Central Rama 3,1,B1,Lifestyle & Specialty
