Source,Target,Weight,Floor,Category
MOTTA,Central Ubon,1,2F,Fashion & Apparel
MUSSAYA,Central Ubon,1,2F,Fashion & Apparel
NAI IN,Central Ubon,1,3F,Lifestyle & Specialty
NEW ERA,Central Ubon,1,1F,Fashion & Apparel
NINETIES DESIGN,Central Ubon,1,2F,Fashion & Apparel
NITIPON CLINIC,Central Ubon,1,2F,Beauty & Wellness
OFFICEMATE,Central Ubon,1,2F,Lifestyle & Specialty
OPPO,Central Ubon,1,2F,Technology & Electronics
ORIENTAL PRINCESS,Central Ubon,1,2F,Beauty & Wellness
P.A. PHONE,Central Ubon,1,2F,Technology & Electronics
PEEWARA CLINIC,Central Ubon,1,2F,Beauty & Wellness
PENA HOUSE,Central Ubon,1,1F,Fashion & Apparel
PHA RUAI,Central Ubon,1,2F,Fashion & Apparel
PLAYBOY,Central Ubon,1,1F,Fashion & Apparel
POK-TOR-SAB,Central Ubon,1,2F,Fashion & Apparel
POTATO CORNER,Central Ubon,1,1F,Food & Beverage
POWER BUY,Central Ubon,1,2F,Technology & Electronics
PRADAP,Central Ubon,1,2F,Fashion & Apparel
PRIMA GOLD,Central Ubon,1,1F,Fashion & Apparel
PRO CLEAN,Central Ubon,1,GF,Lifestyle & Specialty
PRO EXTRA TIME,Central Ubon,1,GF,Lifestyle & Specialty
PROMAN,Central Ubon,1,GF,Lifestyle & Specialty
PUNTHAI COFFEE,Central Ubon,1,2F,Food & Beverage
QUICKLY PLUS,Central Ubon,1,3F,Food & Beverage
RATCHANON,Central Ubon,1,2F,Technology & Electronics
REALME,Central Ubon,1,2F,Technology & Electronics
ROBINSON DEPARTMENT STORE,Central Ubon,1,1F,Lifestyle & Specialty
ROBINSON DEPARTMENT STORE,Central Ubon,1,2F,Lifestyle & Specialty
ROBINSON DEPARTMENT STORE,Central Ubon,1,3F,Lifestyle & Specialty
S&P,Central Ubon,1,3F,Food & Beverage
SABINA,Central Ubon,1,2F,Fashion & Apparel
SAMSUNG,Central Ubon,1,2F,Technology & Electronics
SANSOOK DENTAL CLINIC,Central Ubon,1,3F,Beauty & Wellness
SANTA FE' STEAK,Central Ubon,1,3F,Food & Beverage
SE-ED,Central Ubon,1,3F,Lifestyle & Specialty
SEREE JEWELRY,Central Ubon,1,1F,Fashion & Apparel
SHABUSHI,Central Ubon,1,3F,Food & Beverage
SIAM COMMERCIAL BANK,Central Ubon,1,3F,Bank & Financial Services
SINCHAROON,Central Ubon,1,3F,Lifestyle & Specialty
SIPA RELAXING MASSAGE,Central Ubon,1,2F,Beauty & Wellness
SIZZLER,Central Ubon,1,3F,Food & Beverage
SKECHERS,Central Ubon,1,1F,Fashion & Apparel
SPIN,Central Ubon,1,2F,Fashion & Apparel
STARBUCKS COFFEE,Central Ubon,1,1F,Food & Beverage
SUKISHI CHARCOAL GRILL,Central Ubon,1,3F,Food & Beverage
SUPER FIX,Central Ubon,1,2F,Lifestyle & Specialty
SUPER SPORTS,Central Ubon,1,1F,Fashion & Apparel
SWENSEN'S,Central Ubon,1,3F,Food & Beverage
TANG TANG,Central Ubon,1,2F,Fashion & Apparel
TAYWIN ORIGINAL STYLE,Central Ubon,1,2F,Fashion & Apparel
TEATARO,Central Ubon,1,2F,Food & Beverage
TG FONE,Central Ubon,1,2F,Technology & Electronics
THE FACE SHOP,Central Ubon,1,1F,Beauty & Wellness
THE KLINIQUE,Central Ubon,1,2F,Beauty & Wellness
THE PIZZA COMPANY,Central Ubon,1,3F,Food & Beverage
THE SIS CLINIC,Central Ubon,1,2F,Beauty & Wellness
THE SPELL CLINIC,Central Ubon,1,2F,Beauty & Wellness
