Source,Target,Weight,Floor,Category
BREADTALK,Central Ladprao,1,GF,Food & Beverage
BREW BAR,Central Ladprao,1,2F,Food & Beverage
BSC,Central Ladprao,1,1F,Beauty & Wellness
BURBERRY,Central Ladprao,1,1F,Fashion & Apparel
BUTTER SCOTCH,Central Ladprao,1,GF,Fashion & Apparel
BVLGARI,Central Ladprao,1,1F,Fashion & Apparel
CAFE AMAZON,Central Ladprao,1,1F,Food & Beverage
CAFE AMAZON,Central Ladprao,1,2F,Food & Beverage
CAFE AMAZON,Central Ladprao,1,3F,Food & Beverage
CAFE DE TU,Central Ladprao,1,GF,Food & Beverage
CAGGIONI,Central Ladprao,1,3F,Fashion & Apparel
CALVIN KLEIN,Central Ladprao,1,1F,Fashion & Apparel
CALVIN KLEIN,Central Ladprao,1,2F,Fashion & Apparel
CALVIN KLEIN,Central Ladprao,1,3F,Fashion & Apparel
CALVIN KLEIN SOCKS,Central Ladprao,1,3F,Fashion & Apparel
CAMPER,Central Ladprao,1,2F,Fashion & Apparel
CARAN DACHE,Central Ladprao,1,3F,Lifestyle & Specialty
CARLABEROTTI,Central Ladprao,1,GF,Fashion & Apparel
CARLO BASANO,Central Ladprao,1,3F,Fashion & Apparel
CARNIVAL,Central Ladprao,1,3F,Fashion & Apparel
CAROLINA HERRERA,Central Ladprao,1,1F,Fashion & Apparel
CARSON,Central Ladprao,1,3F,Fashion & Apparel
CASEHARDEN,Central Ladprao,1,2F,Fashion & Apparel
CASIO,Central Ladprao,1,1F,Fashion & Apparel
CASIO,Central Ladprao,1,3F,Fashion & Apparel
CATERPILLAR,Central Ladprao,1,3F,Fashion & Apparel
CATH KIDSTON,Central Ladprao,1,2F,Fashion & Apparel
CC-OO,Central Ladprao,1,1F,Fashion & Apparel
CENTARA LAUNDRY,Central Ladprao,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Ladprao,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Ladprao,1,2F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Ladprao,1,3F,Lifestyle & Specialty
CENTRAL EDITION,Central Ladprao,1,3F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Ladprao,1,1F,Lifestyle & Specialty
CENTRAL DEPARTMENT STORE,Central Ladprao,1,1F,Lifestyle & Specialty
CENTRAL POST,Central Ladprao,1,GF,Lifestyle & Specialty
CHABAR,Central Ladprao,1,GF,Food & Beverage
CHABUTON,Central Ladprao,1,GF,Food & Beverage
CHACO,Central Ladprao,1,3F,Fashion & Apparel
CHALACHOL,Central Ladprao,1,3F,Beauty & Wellness
CHAMPION,Central Ladprao,1,2F,Fashion & Apparel
CHANEL,Central Ladprao,1,1F,Beauty & Wellness
CHARISSE,Central Ladprao,1,3F,Beauty & Wellness
CHARLES & KEITH,Central Ladprao,1,1F,Fashion & Apparel
CHARLOTTE TILBURY,Central Ladprao,1,1F,Beauty & Wellness
CHARRIOL,Central Ladprao,1,1F,Fashion & Apparel
CHATRAMUE,Central Ladprao,1,3F,Food & Beverage
CHEEVIT CHEEVA,Central Ladprao,1,4F,Food & Beverage
CHOLE,Central Ladprao,1,1F,Fashion & Apparel
CHOUNAN,Central Ladprao,1,GF,Food & Beverage
CHRISTIANA,Central Ladprao,1,1F,Fashion & Apparel
CITIZEN,Central Ladprao,1,1F,Fashion & Apparel
CLARINS,Central Ladprao,1,1F,Beauty & Wellness
CLADIA KLEID,Central Ladprao,1,1F,Fashion & Apparel
CLADIA KLEID,Central Ladprao,1,1F,Fashion & Apparel
CLADIA KLEID,Central Ladprao,1,1F,Fashion & Apparel
CLE DE PEAU BEAUTE,Central Ladprao,1,1F,Beauty & Wellness
CLICK CLACK,Central Ladprao,1,GF,Lifestyle & Specialty
CLICK GLASSES,Central Ladprao,1,3F,Fashion & Apparel
CLINIQUE,Central Ladprao,1,1F,Beauty & Wellness
CLUB 21 COLLECTION,Central Ladprao,1,1F,Fashion & Apparel
COACH,Central Ladprao,1,1F,Fashion & Apparel
COBALT,Central Ladprao,1,1F,Fashion & Apparel
COCO ICHIBANYA,Central Ladprao,1,3F,Food & Beverage
COLD STONE CREAMERY,Central Ladprao,1,2F,Food & Beverage
COLUMBIA,Central Ladprao,1,2F,Fashion & Apparel
COMFORT ZONE,Central Ladprao,1,2F,Beauty & Wellness
CONVERSE,Central Ladprao,1,2F,Fashion & Apparel
CONVERSE,Central Ladprao,1,3F,Fashion & Apparel
COOLLIVING FARM,Central Ladprao,1,3F,Lifestyle & Specialty
COPPER 9,Central Ladprao,1,GF,Fashion & Apparel
COVERMARK,Central Ladprao,1,1F,Beauty & Wellness
CPS CHAPS,Central Ladprao,1,2F,Fashion & Apparel
CRAZY STEP,Central Ladprao,1,2F,Fashion & Apparel
CRITICAL SLIDE,Central Ladprao,1,3F,Fashion & Apparel
CROCS,Central Ladprao,1,2F,Fashion & Apparel
CROCS,Central Ladprao,1,3F,Fashion & Apparel
CROSS,Central Ladprao,1,3F,Lifestyle & Specialty
CRUISE BY CHRISTIANA,Central Ladprao,1,1F,Fashion & Apparel
CSECURE,Central Ladprao,1,3F,Technology & Electronics
CURLY CUT,Central Ladprao,1,GF,Beauty & Wellness
CUT & CURL,Central Ladprao,1,3F,Beauty & Wellness
CUTE PRESS,Central Ladprao,1,GF,Beauty & Wellness
DAIRY QUEEN,Central Ladprao,1,2F,Food & Beverage
DAISO,Central Ladprao,1,3F,Lifestyle & Specialty
DAKGALBI,Central Ladprao,1,GF,Food & Beverage
DAKS,Central Ladprao,1,3F,Fashion & Apparel
DANDY COSMO,Central Ladprao,1,3F,Fashion & Apparel
DANIEL WELLINGTON,Central Ladprao,1,1F,Fashion & Apparel
DAPPER,Central Ladprao,1,3F,Fashion & Apparel
DAVIDOFF,Central Ladprao,1,1F,Fashion & Apparel
DC,Central Ladprao,1,3F,Fashion & Apparel
DEFRY 01,Central Ladprao,1,2F,Fashion & Apparel
DEFRY 01,Central Ladprao,1,3F,Fashion & Apparel
DEFUNC HOME,Central Ladprao,1,3F,Technology & Electronics
DELIVERY FEE,Central Ladprao,1,1F,Lifestyle & Specialty
DELSEY,Central Ladprao,1,3F,Fashion & Apparel
DENMAN,Central Ladprao,1,1F,Beauty & Wellness
DERMALOGICA,Central Ladprao,1,1F,Beauty & Wellness
DEVY,Central Ladprao,1,3F,Fashion & Apparel
DIESEL,Central Ladprao,1,1F,Fashion & Apparel
DILOK,Central Ladprao,1,3F,Fashion & Apparel
