Tenant,CompositeScore,GNN_Prediction,Category
MISTY MYNX,0.112545654,0.13606441,Fashion & Apparel
MARINA & MOM DESIGN,0.10310416,0.13590094,Fashion & Apparel
THE A LIST,0.09712255,0.13408709,Fashion & Apparel
RUBY STUDIO,0.19585378,0.13384515,Fashion & Apparel
CLOTHVIBES,0.12347928,0.13303389,Fashion & Apparel
AMARA Handmade,0.08498837,0.1315878,Fashion & Apparel
TEVA,0.102776036,0.124193124,Fashion & Apparel
ONITSUKA TIGER,0.14697312,0.121056974,Fashion & Apparel
RAINBOW JEWELRY,0.0724525,0.1184348,Fashion & Apparel
SPIN,0.12865135,0.11837415,Fashion & Apparel
ZELYN,0.20286073,0.11775766,Fashion & Apparel
AZTIQUE,0.09043301,0.11696584,Fashion & Apparel
DUCATI,0.09378971,0.11686616,Fashion & Apparel
D.JEWEL,0.12533048,0.11628814,Fashion & Apparel
URTHE,0.17857464,0.11581923,Fashion & Apparel
MOTTA SHOP,0.16600291,0.11578349,Fashion & Apparel
DIESEL,0.11536014,0.11491044,Fashion & Apparel
SALOMON,0.18351565,0.1146864,Fashion & Apparel
PLAYGROUND,0.27020863,0.11342306,Fashion & Apparel
ADIDAS ORIGINAL,0.1122366,0.112514615,Fashion & Apparel
CAROLINA LEMKE,0.19745828,0.11243784,Fashion & Apparel
FRED PERRY,0.08283213,0.11215699,Fashion & Apparel
The Hope Silver Jewelry,0.1019099,0.10964672,Fashion & Apparel
BUTTER SCOTCH,0.056543767,0.10912548,Fashion & Apparel
EXPORT SHOP,0.10710376,0.10844964,Fashion & Apparel
PHATARAMANEE,0.12657408,0.10835254,Fashion & Apparel
BOSS TIME,0.093542255,0.106551036,Fashion & Apparel
AREEYA FASHION DESIGN,0.07821894,0.10560079,Fashion & Apparel
DIAMOND FOR YOU,0.08680223,0.105156876,Fashion & Apparel
GUESS ACCESSORIES,0.08301595,0.10480138,Fashion & Apparel
SUUNTO,0.063322596,0.104484506,Fashion & Apparel
SUNNIES,0.053040177,0.09978632,Fashion & Apparel
LIVERPOOL,0.083816074,0.0988953,Fashion & Apparel
แม่ทองสุก,0.107873805,0.09849422,Fashion & Apparel
SUIT SELECT,0.08040762,0.09743862,Fashion & Apparel
COCCINELLE,0.10994342,0.09528269,Fashion & Apparel
KHUNPOOM,0.063017026,0.094868645,Fashion & Apparel
ANANTA,0.115216516,0.09394265,Fashion & Apparel
MARITHE FRANCOIS GIRBAUD,0.10674716,0.09236794,Fashion & Apparel
LIVIA,0.10152741,0.09231257,Fashion & Apparel
ALDO,0.3060101,0.09178917,Fashion & Apparel
KANE,0.09554064,0.09002279,Fashion & Apparel
LITTLE REDFOX,0.09445136,0.08853829,Fashion & Apparel
NOO YOO,0.09088074,0.086774714,Fashion & Apparel
CARNIVAL,0.07113359,0.0817356,Fashion & Apparel
SUMMERLOVE,0.07113359,0.0817356,Fashion & Apparel
Sendai studio,0.08737843,0.080929905,Fashion & Apparel
Sook at Thai Closet,0.08737843,0.080929905,Fashion & Apparel
MOCCA,0.10291083,0.08041772,Fashion & Apparel
GONGDID,0.0917098,0.079708785,Fashion & Apparel
THE TRAVEL STORE,0.0960355,0.07843095,Fashion & Apparel
DOLLAR BOUTIQUE,0.08608662,0.07699813,Fashion & Apparel
2ND STREET,0.07294223,0.07427867,Fashion & Apparel
ILY-I LIVE YOUNG,0.11325512,0.07425384,Fashion & Apparel
D'ARTE,0.05429129,0.07077832,Fashion & Apparel
HAKAN,0.072314955,0.07013898,Fashion & Apparel
LUXURY29,0.073685884,0.069260925,Fashion & Apparel
GOOD GOODS,0.023690345,0.06890001,Fashion & Apparel
BEGIN,0.056699872,0.068834856,Fashion & Apparel
DARAKA DIAMOND,0.09205044,0.068437524,Fashion & Apparel
MISS SIS,0.082640275,0.067345716,Fashion & Apparel
REXXROOM,0.057262372,0.06696375,Fashion & Apparel
TAG HEUER,0.061326105,0.06671953,Fashion & Apparel
JUST IN CASE,0.07043035,0.06626916,Fashion & Apparel
MY LADY BY BAIFERN,0.06335906,0.06622565,Fashion & Apparel
WARRIX SPORT,0.07015073,0.06592262,Fashion & Apparel
SMILEY,0.047022972,0.06462196,Fashion & Apparel
KISS ME DOLL,0.05857763,0.06429027,Fashion & Apparel
D'ULTIMATE,0.062282786,0.062180605,Fashion & Apparel
Superb brandname,0.060684517,0.062077884,Fashion & Apparel
ALPAKA,0.09736345,0.062046506,Fashion & Apparel
EWW. IT'S TOO CUTE,0.067981936,0.060901158,Fashion & Apparel
