Tenant,CompositeScore,GNN_Prediction,Category
COVERMARK,0.34587854,0.36448345,Robinson Department Store
TOSHIBA,0.31880328,0.36234275,Robinson Department Store
BSC COSMETOLOGY,0.33747485,0.36205307,Robinson Department Store
BANDAI,0.27458987,0.35914028,Robinson Department Store
SYLVANIAN FAMILIES,0.29304177,0.35791138,Robinson Department Store
THAMES,0.36153862,0.35669726,Robinson Department Store
DAKS,0.31447947,0.35529956,Robinson Department Store
EVERSINCE,0.2928811,0.35219833,Robinson Department Store
MONTBLANC,0.30144268,0.3498051,Robinson Department Store
SKII,0.29078496,0.34813324,Robinson Department Store
CITY TOYS,0.2691888,0.3478245,Robinson Department Store
PERICO,0.29210213,0.34770197,Robinson Department Store
SIRENA,0.29270473,0.34750932,Robinson Department Store
DELONGHI,0.27916938,0.343632,Robinson Department Store
OMAZZ,0.28696448,0.3425068,Robinson Department Store
SILVERLIT,0.2808057,0.3419325,Robinson Department Store
SIMPLICITY,0.32705802,0.34170625,Robinson Department Store
THE MARC JACOBS,0.2896612,0.34116837,Robinson Department Store
PRIMA ART,0.27691135,0.34111568,Robinson Department Store
RALPH LAUREN,0.27699324,0.3406913,Robinson Department Store
KOSE,0.28786898,0.3398633,Robinson Department Store
PRIMA GOLD,0.28604016,0.33962116,Robinson Department Store
TREND,0.33236715,0.33941773,Robinson Department Store
DEVY,0.33236715,0.33941773,Robinson Department Store
STJAMES,0.33236715,0.3394177,Robinson Department Store
FONNEY,0.27990532,0.33514383,Robinson Department Store
DISNEY PRINCESS,0.29546952,0.3349601,Robinson Department Store
LAMER,0.2843884,0.33408138,Robinson Department Store
VTECH,0.28099093,0.33390412,Robinson Department Store
ANGEL KIDS,0.27658245,0.332473,Robinson Department Store
KIDS&TEENS,0.2553821,0.33218077,Robinson Department Store
NESTLE,0.2553821,0.33218077,Robinson Department Store
MINI MONO,0.31053388,0.33030075,Robinson Department Store
EMBIX,0.2584327,0.32857803,Robinson Department Store
GQ JEANS,0.31006324,0.3276221,Robinson Department Store
BVLGARI,0.24599631,0.32673457,Robinson Department Store
DISNEY KIDDO,0.25402227,0.32638332,Robinson Department Store
THREE,0.26713526,0.3257135,Robinson Department Store
BEYBLADE,0.27743858,0.32178137,Robinson Department Store
HUGO BOSS,0.31361687,0.3216655,Robinson Department Store
PANASONIC,0.26258302,0.32154194,Robinson Department Store
BABY STONE,0.27660203,0.32045466,Robinson Department Store
GB,0.25517878,0.31946602,Robinson Department Store
BP WORLD,0.46490374,0.3189332,Robinson Department Store
COACH,0.3731193,0.31854388,Robinson Department Store
KIEHLS,0.257892,0.31764892,Robinson Department Store
ESTIMATE,0.2875601,0.31604913,Robinson Department Store
EAZY CLEAN LOCAL,0.24869768,0.31353745,Robinson Department Store
VERSACE,0.27172294,0.31350896,Robinson Department Store
SEIKO CLOCK,0.24587776,0.31349748,Robinson Department Store
