Tenant,CompositeScore,GNN_Prediction,Category
CHABA NAILS & EYELASHES PRO,0.011298739,0.02670031,Beauty & Wellness
@MEDICAL CLINIC BY หมอไก่,0.014465693,0.020203628,Beauty & Wellness
AROME BKK,0.00044670328,0.019155718,Beauty & Wellness
LOHM,0.0028309375,0.01874441,Beauty & Wellness
SMOOTH LIFE,0.011776618,0.017140701,Beauty & Wellness
EARTH,0.010887201,0.016606294,Beauty & Wellness
KEDMA COSMETIC,0.007032187,0.015481375,Beauty & Wellness
AT MEDICAL CLINIC,0.011924448,0.014983527,Beauty & Wellness
MERREZ'CA,0.008498393,0.01464159,Beauty & Wellness
BRUTUS SPA THAILAND,0.02153634,0.014492378,Beauty & Wellness
FOREVER FLAWLESS,0.008502999,0.014363389,Beauty & Wellness
THE RITZ CLINIC,0.020105412,0.014042292,Beauty & Wellness
INFINITY CLINIC,0.013537446,0.013852913,Beauty & Wellness
Hair's Place,0.0069044046,0.013826311,Beauty & Wellness
ING TARN THAI MASSAGE,0.005683221,0.013625331,Beauty & Wellness
L'CLINIC,0.008883329,0.0134966485,Beauty & Wellness
FLASH NAIL,0.009036059,0.012805637,Beauty & Wellness
WANGWAN,0.0018895842,0.012659259,Beauty & Wellness
PLOYRADA CLINIC,0.007527486,0.012268044,Beauty & Wellness
HAIR D'CRAFT,0.009641687,0.0120867565,Beauty & Wellness
LEMBIC,0.0067034042,0.011771899,Beauty & Wellness
SLC CLINIC,0.005278917,0.010779306,Beauty & Wellness
Pornmaya,0.008167307,0.010721609,Beauty & Wellness
CURLY CUT,0.007958067,0.008099951,Beauty & Wellness
WISH WELL PHARMACY,0.0047510806,0.007194966,Beauty & Wellness
@ NAIL,0.0017315998,0.0055088215,Beauty & Wellness
ARTEPOLE,0.0024722773,0.005465705,Beauty & Wellness
KIEHL'S,0.0015151579,0.0028780662,Beauty & Wellness
