Tenant,CompositeScore,GNN_Prediction,Category
KARUN THAI TEA,0.24184556,0.1474972,Food & Beverage
CALBEE KAITSUKA,0.21609321,0.14742516,Food & Beverage
BEANS Coffee Roaster,0.109295666,0.14522943,Food & Beverage
KYO ROLL EN,0.112653665,0.14456327,Food & Beverage
EASY BUDDY,0.14130586,0.14219174,Food & Beverage
LALUNE MACARON,0.15695095,0.13982776,Food & Beverage
CHAGEE,0.14486314,0.13277751,Food & Beverage
COFFEE WORLD,0.12076706,0.1310982,Food & Beverage
น้ำเต้าหู้ปูปลา,0.070490755,0.12918434,Food & Beverage
HITORI SHABU,0.23749931,0.12827983,Food & Beverage
กับข้าวกับปลา,0.08256389,0.12098323,Food & Beverage
GATEAUX HOUSE,0.09562276,0.12093177,Food & Beverage
CHATRAMUE,0.17257646,0.11802907,Food & Beverage
วากาชิ,0.11830212,0.11462638,Food & Beverage
OKUNG,0.07331506,0.11449513,Food & Beverage
THE ALLEY,0.061841305,0.11405265,Food & Beverage
SHINKANZEN SUSHI,0.32446232,0.11397289,Food & Beverage
ก๋วยเตี๋ยวเจียงลูกชิ้นปลา,0.055033863,0.113360666,Food & Beverage
โอ้กะจู๋,0.063265145,0.111880146,Food & Beverage
YUAN MING YUAN BEEF RICE NOODLE,0.17434575,0.11171982,Food & Beverage
CANTEEN,0.06921144,0.1107217,Food & Beverage
OH JUICE,0.08668451,0.11048527,Food & Beverage
YUME MATCHA,0.15655708,0.10862262,Food & Beverage
YOSHINOYA,0.0968257,0.10829072,Food & Beverage
THONG SMITH,0.08630393,0.10763982,Food & Beverage
SHUYI,0.10202707,0.106781065,Food & Beverage
LAMUNN,0.056423187,0.106325015,Food & Beverage
INTHANIN,0.1300553,0.10545484,Food & Beverage
EAT AM ARE,0.13979225,0.10440578,Food & Beverage
ก๋วยเตี๋ยวเรือกลางกรุง,0.10456815,0.10432401,Food & Beverage
HAAB,0.11828127,0.10367487,Food & Beverage
PACAMARA,0.046158545,0.103648365,Food & Beverage
KIKI MATCHA,0.11125132,0.10292024,Food & Beverage
HOKKAIDO BAKED CHEESE TART/ SECRET RECIPE,0.12663203,0.10211275,Food & Beverage
TOPS DAILY,0.22379167,0.10210516,Food & Beverage
PIZZA HUT,0.123055704,0.101654224,Food & Beverage
SRIWANNA,0.08614457,0.09934886,Food & Beverage
KIANI,0.07285664,0.09754662,Food & Beverage
KOBE STEAK HOUSE,0.07516345,0.09753422,Food & Beverage
PASTA AMA,0.08040762,0.09743862,Food & Beverage
FUKU MATCHA CROSS 2,0.0758787,0.09722895,Food & Beverage
หยกสด,0.06784862,0.09450019,Food & Beverage
TENJO,0.06360369,0.09438764,Food & Beverage
ITALASIA,0.10500271,0.094067596,Food & Beverage
ร้านทุเรียนลุงมาด,0.06454135,0.09301203,Food & Beverage
LT FISH RESTAURANT,0.09817438,0.092486836,Food & Beverage
YOLK,0.14786693,0.091900975,Food & Beverage
BHC CHICKEN,0.14786693,0.091900975,Food & Beverage
GUSS DAMN GOOD,0.05202058,0.0894425,Food & Beverage
YONNY,0.07994051,0.089108884,Food & Beverage
PRIME BURGER THAILAND,0.045751892,0.08876287,Food & Beverage
MIHIMIHI,0.08725039,0.08796798,Food & Beverage
LELE JUICE BAR,0.069421634,0.08704671,Food & Beverage
NAISNOW,0.06228655,0.08408707,Food & Beverage
THE STEAK & MORE,0.068936005,0.08405604,Food & Beverage
SONG FA BAK KUT TEH,0.06401685,0.083209395,Food & Beverage
SANTAFE' STEAK,0.0830184,0.08314053,Food & Beverage
CHICHA San Chen,0.07113359,0.0817356,Food & Beverage
BIBI,0.067634985,0.07802561,Food & Beverage
S&P BAKERY,0.09495111,0.077282235,Food & Beverage
YODCHA,0.070008144,0.07264636,Food & Beverage
ปั้นคำหอม,0.071955875,0.070969954,Food & Beverage
MINIMELTS THAILAND,0.115965545,0.070755005,Food & Beverage
DOLCE GELATINO,0.09205044,0.068437524,Food & Beverage
JOOM ZAP HUT/BAR B Q,0.11363823,0.067602,Food & Beverage
MAESRIRUEN,0.05431309,0.0669799,Food & Beverage
DOOKKI KOREAN TOPOKKI BUFFET,0.08810813,0.06600099,Food & Beverage
SOMTAMนัว,0.05857763,0.06429027,Food & Beverage
OWL CHA,0.08264811,0.06291483,Food & Beverage
PANG CHA BY LUKKAITHONG,0.06391196,0.061962154,Food & Beverage
MIKUCHA,0.048465155,0.061836205,Food & Beverage
MX CAKES & BAKERY,0.06184009,0.058665417,Food & Beverage
Mandarin Suki & Dimsum Halal,0.03889464,0.05732987,Food & Beverage
SF POP BOOTH,0.043370366,0.056180775,Food & Beverage
MIYAZAKI,0.07805396,0.056131277,Food & Beverage
HACHIBAN RAMEN,0.002408889,0.055923067,Food & Beverage
LAMCHAROEN SEAFOOD,0.002408889,0.055923067,Food & Beverage
RUBY CRUSH,0.055653427,0.055412766,Food & Beverage
YOU&I SUKI,0.069678694,0.054660898,Food & Beverage
MOLLY TEA,0.0355855,0.05424283,Food & Beverage
Go Pop,0.035041638,0.05344288,Food & Beverage
KATSU MIDORI,0.04857843,0.051820267,Food & Beverage
SABOTEN,0.07132337,0.05130676,Food & Beverage
OAKBERRY,0.0602668,0.05074026,Food & Beverage
CANTEEN 2,0.07355771,0.049478173,Food & Beverage
MIDDLE CAT,0.054844934,0.048701376,Food & Beverage
WAGASHI ขนมญี่ปุ่น,0.059186246,0.047504738,Food & Beverage
FOODTOGO BY TOPS,0.057591733,0.04538548,Food & Beverage
OISHI EATERIUM / โออิชิ อีทเทอเรียม,0.07140081,0.045168985,Food & Beverage
CANTEEN 1,0.037308663,0.039240897,Food & Beverage
LEHAHA LANZHOUN,0.019951418,0.03760372,Food & Beverage
S&P RESTAURANT AND BAKERY,0.03544878,0.035195842,Food & Beverage
CPS COFFEE,0.02396599,0.034995098,Food & Beverage
FOOD HALL,0.02396599,0.034995098,Food & Beverage
ก๋วยเตี๋ยวเรือหลานตาเพียร,0.008748021,0.034382973,Food & Beverage
AI-CHA,0.025722504,0.033613294,Food & Beverage
MCDONALD'S,0.04825948,0.033545844,Food & Beverage
HIKINIKU TO COME,0.003614631,0.032834016,Food & Beverage
VITSAVA NOODLE,0.04023853,0.032733675,Food & Beverage
KRUA MUANG VE LAO-YUAN,0.017908132,0.03246167,Food & Beverage
SUBWAY,0.025940957,0.032396626,Food & Beverage
ROYCE & JALUX CORNER,0.036712006,0.032145556,Food & Beverage
MEZZO,0.032003358,0.03027238,Food & Beverage
