Tenant,CompositeScore,GNN_Prediction,Category
TANITA,0.13249353,0.19211808,Central Department Store
PHILIPS LIGHTING,0.18390949,0.19176623,Central Department Store
BONBEBE,0.16165921,0.19051023,Central Department Store
REMINGTON,0.16184305,0.1897879,Central Department Store
PRETTY FIT,0.14488718,0.18933515,Central Department Store
ECHOLAC,0.1375478,0.18913525,Central Department Store
LITTLE LIVE PETS PACIFIC,0.1552459,0.18851635,Central Department Store
MERGE,0.1371389,0.18581721,Central Department Store
JOLI SNOB,0.13059643,0.18519983,Central Department Store
MARSHALL,0.16160998,0.18500254,Central Department Store
PEPPA PIG,0.13984017,0.1847202,Central Department Store
HERO KIDS,0.14708523,0.18384619,Central Department Store
DANIEL WELLINGTON,0.13588443,0.1810044,Central Department Store
ELIZABETH,0.13750465,0.18058409,Central Department Store
BUMKINS,0.1471019,0.17849262,Central Department Store
SIVANNA COLORS,0.17185748,0.17799261,Central Department Store
CLE DE PEAU BEAUTE,0.14163294,0.17795219,Central Department Store
BANDAI KIDZ&KITZ,0.15781324,0.17791222,Central Department Store
ATTITUDE MOM,0.14596744,0.17592801,Central Department Store
BALLARINI,0.121591926,0.17426568,Central Department Store
CLAUDIA KLEID WEEKEND,0.14358316,0.17421357,Central Department Store
BRUSTA,0.1358844,0.17223871,Central Department Store
WHOO,0.12417103,0.17133722,Central Department Store
DONNA CHANG,0.1395718,0.17103347,Central Department Store
GOLD MASTER,0.11848856,0.16965003,Central Department Store
INFANTINO,0.16955464,0.16961895,Central Department Store
NAUTICA,0.17036064,0.16961895,Central Department Store
GUND KIDDO,0.20007193,0.16895974,Central Department Store
FRN,0.14906828,0.16707608,Central Department Store
PENGUIN,0.10161993,0.16609474,Central Department Store
ALBA,0.14726976,0.16558854,Central Department Store
LUNA,0.20182747,0.16504687,Central Department Store
3M,0.11652764,0.16502339,Central Department Store
COZY N SAFE,0.13206874,0.164563,Central Department Store
PACO RABANNE,0.16964526,0.16423269,Central Department Store
HITACHI,0.1387616,0.16368607,Central Department Store
HUROM,0.13120499,0.16301309,Central Department Store
TWIN FISH,0.12181783,0.1628392,Central Department Store
OXO,0.15632041,0.16127959,Central Department Store
ENERGIZER,0.13045245,0.1607532,Central Department Store
OOFOS,0.096903786,0.15994033,Central Department Store
CIRCULON,0.1524168,0.15966181,Central Department Store
KLIN,0.121319935,0.15955527,Central Department Store
FREDERIQUE CONSTANT,0.114780836,0.15796778,Central Department Store
SCOOT AND RIDE,0.12620425,0.15781517,Central Department Store
PAZZION,0.14142913,0.15721256,Central Department Store
LEAP FROG,0.1773348,0.15713589,Central Department Store
NYLA,0.106312744,0.15706979,Central Department Store
WIENNA,0.12916334,0.15682346,Central Department Store
BILLABONG,0.12626047,0.15593791,Central Department Store
HELLO KITTY WD,0.14537053,0.1536224,Central Department Store
